Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          170    19:08.229          72          72   15947627 .TAU application
100.0     1:15.560    19:08.058          72         936   15945252 main 
 88.0          119    16:50.649          72        1152   14036795 ParMETIS_V3_RefineKway 
 83.2          148    15:55.047         432        9648    2210757 libparmetis__Adaptive_Partition 
 56.0           14    10:43.553       14760       14760      43601 libparmetis__gkMPI_Allreduce 
 56.0    10:43.539    10:43.539       14760           0      43600 MPI_Allreduce() 
 46.6          458     8:54.531         360      441379    1484810 libparmetis__KWayAdaptiveRefine 
 15.3           14     2:55.533        1944       19440      90295 libparmetis__ComputeParallelBalance 
 13.0            2     2:28.878        3384        3384      43995 libparmetis__GlobalSESum 
 12.7           15     2:26.087       20448       20448       7144 libparmetis__gkMPI_Waitall 
 12.7     2:26.072     2:26.072       20448           0       7144 MPI_Waitall() 
 10.6          187     2:01.562         360      376152     337674 libparmetis__Match_Global 
  7.8          137     1:29.577        1944        1944      46079 libparmetis__rprintf 
  7.8            1     1:29.440        1944        1944      46009 libparmetis__gkMPI_Barrier 
  7.8     1:29.438     1:29.438        1944           0      46008 MPI_Barrier() 
  7.4           77     1:25.479      183174      183174        467 libparmetis__gkMPI_Wait 
  7.4     1:25.402     1:25.402      183174           0        466 MPI_Wait() 
  6.7          271     1:17.227        4320      736892      17877 libparmetis__CommChangedInterfaceData 
  4.5          343       51,399          72        1367     713886 ParallelReadGraph 
  4.3          100       49,138         432      171661     113747 libparmetis__ComputePartitionParams 
  3.6           62       41,057        1872      165012      21933 libparmetis__CommInterfaceData 
  3.3           69       38,361         360       32671     106559 libparmetis__CreateCoarseGraph_Global 
  3.3       37,867       37,867         355           0     106668 MPI_Recv() 
  3.3        0.331       37,861         284         284     133315 libparmetis__gkMPI_Recv 
  2.8          134       32,695         432       46276      75685 libparmetis__CommSetup 
  2.0           15       23,172          72         288     321837 libparmetis__PrintPostPartInfo 
  1.9        0.725       22,056         432         432      51058 libparmetis__gkMPI_Alltoall 
  1.9       22,056       22,056         432           0      51056 MPI_Alltoall() 
  1.6        0.445       18,918         504         504      37537 libparmetis__GlobalSEMax 
  1.4        0.347       15,846         432         432      36682 libparmetis__GlobalSEMin 
  1.3            1       15,216        1728        1728       8806 libparmetis__gkMPI_Bcast 
  1.3       15,214       15,214        1728           0       8805 MPI_Bcast() 
  1.3           37       14,759          72         288     204992 libparmetis__CheckInputsPartKway 
  1.3        0.818       14,722          72          72     204472 libparmetis__GlobalSESumComm 
  1.2        0.573       13,376         360         360      37158 libparmetis__gkMPI_Allgather 
  1.2       13,376       13,376         360           0      37156 MPI_Allgather() 
  0.9            6       10,663          72         936     148109 libparmetis__Mc_ComputeMoveStatistics 
  0.9        9,782        9,782         144           0      67935 MPI_Comm_dup() 
  0.7            3        8,274          72         648     114930 libparmetis__SetupGraph 
  0.4           12        4,764          72         720      66177 libparmetis__SetupCtrl 
  0.4        0.057        4,473          72          72      62138 libparmetis__GlobalSEMinComm 
  0.3        3,416        3,416         355           0       9625 MPI_Send() 
  0.3        0.096        3,314          72         216      46028 libparmetis__SetupCtrl_invtvwgts 
  0.3          169        2,949          72         428      40971 WritePVector 
  0.2          263        2,572      516663      516663          5 libparmetis__gkMPI_Isend 
  0.2        2,309        2,309      516663           0          4 MPI_Isend() 
  0.1            6        1,332         360        4172       3703 libparmetis__ProjectPartition 
  0.1        0.198          643         284         284       2266 libparmetis__gkMPI_Send 
  0.0          251          474      516663      516663          1 libparmetis__gkMPI_Irecv 
  0.0          183          276      419104      419104          1 libparmetis__gkMPI_Get_count 
  0.0          222          222      516663           0          0 MPI_Irecv() 
  0.0          214          214        1872           0        115 libmetis__ikvsorti 
  0.0           93           93      419104           0          0 MPI_Get_count() 
  0.0           49           63        1946        3892         33 libmetis__ismalloc 
  0.0           34           50      172335         387          0 libparmetis__cnbrpoolGetNext 
  0.0           15           42       28295       28295          1 libparmetis__wspacemalloc 
  0.0            9           31       14471       14471          2 libparmetis__iwspacemalloc 
  0.0           25           29       15633       14981          2 gk_malloc 
  0.0           14           27       28295       30892          1 gk_mcoreMalloc 
  0.0           26           26        2880           0          9 libmetis__isorti 
  0.0           22           22        4466           0          5 libmetis__iset 
  0.0           16           20        4830       15197          4 gk_free 
  0.0           19           19        5183           0          4 libmetis__icopy 
  0.0            5           18       10368       10368          2 libparmetis__rwspacemalloc 
  0.0            4           18        7921        7921          2 libmetis__imalloc 
  0.0           15           16         678        1140         24 gk_realloc 
  0.0            9           14       10439       10439          1 gk_mcorePush 
  0.0           10           11          72         288        164 libparmetis__FreeInitialGraphAndRemap 
  0.0           11           11        1944           0          6 libmetis__isum 
  0.0            6           11       10439        2597          1 gk_mcorePop 
  0.0           10           10          72         144        153 gk_malloc_init 
  0.0            2           10          72         216        150 libparmetis__FreeCtrl 
  0.0           10           10       38734           0          0 gk_mcoreAdd 
  0.0            2            9        3456        3456          3 libparmetis__ikvwspacemalloc 
  0.0            1            8         360        1080         23 libparmetis__FreeGraph 
  0.0            7            8        3240        1220          3 libparmetis__FastRandomPermute 
  0.0            1            7          72         144        101 libparmetis__FreeWSpace 
  0.0            7            7       31878           0          0 libparmetis__IsHBalanceBetterTT 
  0.0        0.359            5         432         432         14 libparmetis__FreeNonGraphFields 
  0.0            4            4       13887           0          0 libparmetis__BSearch 
  0.0            4            4       15731           0          0 gk_gkmcoreAdd 
  0.0            4            4       15659           0          0 gk_gkmcoreDel 
  0.0            3            3        2680           0          1 libparmetis__RandomPermute 
  0.0            2            2         432         291          6 libparmetis__CommUpdateNnbrs 
  0.0            2            2        7416           0          0 libmetis__rset 
  0.0            1            1         432         864          4 libparmetis__CreateGraph 
  0.0            1            1          72         144         23 gk_malloc_cleanup 
  0.0        0.658            1        1080        1080          2 libmetis__rmalloc 
  0.0            1            1        5583           0          0 libparmetis__IsHBalanceBetterFT 
  0.0        0.711            1          72          72         18 libparmetis__AllocateWSpace 
  0.0            1            1        3024           0          0 libmetis__rcopy 
  0.0        0.708            1         288         288          4 libparmetis__gkMPI_Comm_size 
  0.0        0.564            1         504        1008          2 libmetis__rsmalloc 
  0.0            1            1        3384           0          0 libparmetis__ravg 
  0.0        0.143        0.896          72          72         12 libparmetis__gkMPI_Comm_free 
  0.0        0.883        0.883         144           0          6 MPI_Comm_free() 
  0.0        0.329        0.864         360         360          2 libmetis__ikvmalloc 
  0.0        0.477        0.737         360         360          2 libparmetis__gkMPI_Comm_rank 
  0.0        0.715        0.715         720           0          1 libmetis__ikvsortii 
  0.0        0.648        0.648         792           0          1 libmetis__iincset 
  0.0        0.078        0.581          72         216          8 gk_mcoreCreate 
  0.0         0.06        0.572          72          72          8 libparmetis__AllocateRefinementWorkSpace 
  0.0        0.304        0.545          72          72          8 libparmetis__SetupGraph_nvwgts 
  0.0        0.516        0.516         288           0          2 MPI_Comm_size() 
  0.0        0.399        0.421          72          72          6 gk_gkmcorePush 
  0.0         0.26         0.26         360           0          1 MPI_Comm_rank() 
  0.0        0.057        0.228          72          72          3 gk_mcoreDestroy 
  0.0        0.191        0.191         432           0          0 libparmetis__InitGraph 
  0.0        0.165        0.165          72           0          2 gk_gkmcoreCreate 
  0.0        0.055        0.055         144           0          0 gk_GetCurMemoryUsed 
  0.0        0.052        0.052         144           0          0 libmetis__imax 
  0.0        0.051        0.051          72           0          1 libparmetis__ParallelReMapGraph 
  0.0        0.043        0.043          72           0          1 libmetis__rsum 
  0.0        0.038        0.038          72           0          1 libparmetis__InitTimers 
  0.0         0.03         0.03          72           0          0 gk_gkmcoreDestroy 
  0.0        0.029        0.029          72           0          0 gk_gkmcorePop 
  0.0        0.001        0.008           1           1          8 gk_cmalloc 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            2       15,947           1           1   15947627 .TAU application
100.0        1,049       15,945           1          13   15945252 main 
 88.0            1       14,036           1          16   14036795 ParMETIS_V3_RefineKway 
 83.2            2       13,264           6         134    2210757 libparmetis__Adaptive_Partition 
 56.0        0.198        8,938         205         205      43601 libparmetis__gkMPI_Allreduce 
 56.0        8,938        8,938         205           0      43600 MPI_Allreduce() 
 46.6            6        7,424           5     6130.26    1484810 libparmetis__KWayAdaptiveRefine 
 15.3        0.202        2,437          27         270      90295 libparmetis__ComputeParallelBalance 
 13.0       0.0397        2,067          47          47      43995 libparmetis__GlobalSESum 
 12.7        0.211        2,028         284         284       7144 libparmetis__gkMPI_Waitall 
 12.7        2,028        2,028         284           0       7144 MPI_Waitall() 
 10.6            2        1,688           5     5224.33     337674 libparmetis__Match_Global 
  7.8            1        1,244          27          27      46079 libparmetis__rprintf 
  7.8       0.0277        1,242          27          27      46009 libparmetis__gkMPI_Barrier 
  7.8        1,242        1,242          27           0      46008 MPI_Barrier() 
  7.4            1        1,187     2544.08     2544.08        467 libparmetis__gkMPI_Wait 
  7.4        1,186        1,186     2544.08           0        466 MPI_Wait() 
  6.7            3        1,072          60     10234.6      17877 libparmetis__CommChangedInterfaceData 
  4.5            4          713           1     18.9861     713886 ParallelReadGraph 
  4.3            1          682           6     2384.18     113747 libparmetis__ComputePartitionParams 
  3.6        0.862          570          26     2291.83      21933 libparmetis__CommInterfaceData 
  3.3        0.972          532           5     453.764     106559 libparmetis__CreateCoarseGraph_Global 
  3.3          525          525     4.93056           0     106668 MPI_Recv() 
  3.3       0.0046          525     3.94444     3.94444     133315 libparmetis__gkMPI_Recv 
  2.8            1          454           6     642.722      75685 libparmetis__CommSetup 
  2.0        0.212          321           1           4     321837 libparmetis__PrintPostPartInfo 
  1.9       0.0101          306           6           6      51058 libparmetis__gkMPI_Alltoall 
  1.9          306          306           6           0      51056 MPI_Alltoall() 
  1.6      0.00618          262           7           7      37537 libparmetis__GlobalSEMax 
  1.4      0.00482          220           6           6      36682 libparmetis__GlobalSEMin 
  1.3       0.0235          211          24          24       8806 libparmetis__gkMPI_Bcast 
  1.3          211          211          24           0       8805 MPI_Bcast() 
  1.3        0.517          204           1           4     204992 libparmetis__CheckInputsPartKway 
  1.3       0.0114          204           1           1     204472 libparmetis__GlobalSESumComm 
  1.2      0.00796          185           5           5      37158 libparmetis__gkMPI_Allgather 
  1.2          185          185           5           0      37156 MPI_Allgather() 
  0.9       0.0843          148           1          13     148109 libparmetis__Mc_ComputeMoveStatistics 
  0.9          135          135           2           0      67935 MPI_Comm_dup() 
  0.7       0.0548          114           1           9     114930 libparmetis__SetupGraph 
  0.4        0.178           66           1          10      66177 libparmetis__SetupCtrl 
  0.4     0.000792           62           1           1      62138 libparmetis__GlobalSEMinComm 
  0.3           47           47     4.93056           0       9625 MPI_Send() 
  0.3      0.00133           46           1           3      46028 libparmetis__SetupCtrl_invtvwgts 
  0.3            2           40           1     5.94444      40971 WritePVector 
  0.2            3           35     7175.88     7175.88          5 libparmetis__gkMPI_Isend 
  0.2           32           32     7175.88           0          4 MPI_Isend() 
  0.1       0.0836           18           5     57.9444       3703 libparmetis__ProjectPartition 
  0.1      0.00275            8     3.94444     3.94444       2266 libparmetis__gkMPI_Send 
  0.0            3            6     7175.88     7175.88          1 libparmetis__gkMPI_Irecv 
  0.0            2            3     5820.89     5820.89          1 libparmetis__gkMPI_Get_count 
  0.0            3            3     7175.88           0          0 MPI_Irecv() 
  0.0            2            2          26           0        115 libmetis__ikvsorti 
  0.0            1            1     5820.89           0          0 MPI_Get_count() 
  0.0        0.688        0.879     27.0278     54.0556         33 libmetis__ismalloc 
  0.0        0.477        0.695     2393.54       5.375          0 libparmetis__cnbrpoolGetNext 
  0.0        0.209        0.587     392.986     392.986          1 libparmetis__wspacemalloc 
  0.0        0.136        0.441     200.986     200.986          2 libparmetis__iwspacemalloc 
  0.0        0.358        0.413     217.125     208.069          2 gk_malloc 
  0.0        0.203        0.378     392.986     429.056          1 gk_mcoreMalloc 
  0.0        0.375        0.375          40           0          9 libmetis__isorti 
  0.0        0.308        0.308     62.0278           0          5 libmetis__iset 
  0.0        0.226         0.28     67.0833     211.069          4 gk_free 
  0.0        0.277        0.277     71.9861           0          4 libmetis__icopy 
  0.0       0.0815        0.255         144         144          2 libparmetis__rwspacemalloc 
  0.0       0.0585        0.254     110.014     110.014          2 libmetis__imalloc 
  0.0        0.217        0.223     9.41667     15.8333         24 gk_realloc 
  0.0        0.135        0.196     144.986     144.986          1 gk_mcorePush 
  0.0        0.142        0.164           1           4        164 libparmetis__FreeInitialGraphAndRemap 
  0.0        0.161        0.161          27           0          6 libmetis__isum 
  0.0       0.0895        0.159     144.986     36.0694          1 gk_mcorePop 
  0.0        0.145        0.153           1           2        153 gk_malloc_init 
  0.0       0.0327         0.15           1           3        150 libparmetis__FreeCtrl 
  0.0        0.147        0.147     537.972           0          0 gk_mcoreAdd 
  0.0       0.0283        0.138          48          48          3 libparmetis__ikvwspacemalloc 
  0.0       0.0181        0.116           5          15         23 libparmetis__FreeGraph 
  0.0        0.108        0.113          45     16.9444          3 libparmetis__FastRandomPermute 
  0.0       0.0222        0.101           1           2        101 libparmetis__FreeWSpace 
  0.0       0.0972       0.0972      442.75           0          0 libparmetis__IsHBalanceBetterTT 
  0.0      0.00499       0.0814           6           6         14 libparmetis__FreeNonGraphFields 
  0.0       0.0628       0.0628     192.875           0          0 libparmetis__BSearch 
  0.0       0.0583       0.0583     218.486           0          0 gk_gkmcoreAdd 
  0.0       0.0574       0.0574     217.486           0          0 gk_gkmcoreDel 
  0.0       0.0429       0.0429     37.2222           0          1 libparmetis__RandomPermute 
  0.0       0.0336       0.0387           6     4.04167          6 libparmetis__CommUpdateNnbrs 
  0.0       0.0315       0.0315         103           0          0 libmetis__rset 
  0.0       0.0149        0.024           6          12          4 libparmetis__CreateGraph 
  0.0        0.022       0.0228           1           2         23 gk_malloc_cleanup 
  0.0      0.00914       0.0228          15          15          2 libmetis__rmalloc 
  0.0       0.0197       0.0197     77.5417           0          0 libparmetis__IsHBalanceBetterFT 
  0.0      0.00988       0.0179           1           1         18 libparmetis__AllocateWSpace 
  0.0       0.0172       0.0172          42           0          0 libmetis__rcopy 
  0.0      0.00983        0.017           4           4          4 libparmetis__gkMPI_Comm_size 
  0.0      0.00783       0.0155           7          14          2 libmetis__rsmalloc 
  0.0       0.0154       0.0154          47           0          0 libparmetis__ravg 
  0.0      0.00199       0.0124           1           1         12 libparmetis__gkMPI_Comm_free 
  0.0       0.0123       0.0123           2           0          6 MPI_Comm_free() 
  0.0      0.00457        0.012           5           5          2 libmetis__ikvmalloc 
  0.0      0.00662       0.0102           5           5          2 libparmetis__gkMPI_Comm_rank 
  0.0      0.00993      0.00993          10           0          1 libmetis__ikvsortii 
  0.0        0.009        0.009          11           0          1 libmetis__iincset 
  0.0      0.00108      0.00807           1           3          8 gk_mcoreCreate 
  0.0     0.000833      0.00794           1           1          8 libparmetis__AllocateRefinementWorkSpace 
  0.0      0.00422      0.00757           1           1          8 libparmetis__SetupGraph_nvwgts 
  0.0      0.00717      0.00717           4           0          2 MPI_Comm_size() 
  0.0      0.00554      0.00585           1           1          6 gk_gkmcorePush 
  0.0      0.00361      0.00361           5           0          1 MPI_Comm_rank() 
  0.0     0.000792      0.00317           1           1          3 gk_mcoreDestroy 
  0.0      0.00265      0.00265           6           0          0 libparmetis__InitGraph 
  0.0      0.00229      0.00229           1           0          2 gk_gkmcoreCreate 
  0.0     0.000764     0.000764           2           0          0 gk_GetCurMemoryUsed 
  0.0     0.000722     0.000722           2           0          0 libmetis__imax 
  0.0     0.000708     0.000708           1           0          1 libparmetis__ParallelReMapGraph 
  0.0     0.000597     0.000597           1           0          1 libmetis__rsum 
  0.0     0.000528     0.000528           1           0          1 libparmetis__InitTimers 
  0.0     0.000417     0.000417           1           0          0 gk_gkmcoreDestroy 
  0.0     0.000403     0.000403           1           0          0 gk_gkmcorePop 
  0.0     1.39E-05     0.000111   0.0138889   0.0138889          8 gk_cmalloc 
