Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          226    28:21.519          72          72   23632218 .TAU application
100.0     1:29.293    28:21.293          72         936   23629073 main 
 90.5           92    25:40.512          72        1152   21396004 ParMETIS_V3_PartKway 
 87.6          131    24:50.613         576       15408    2587871 libparmetis__Global_Partition 
 50.4           17    14:17.394       19440       19440      44105 libparmetis__gkMPI_Allreduce 
 50.4    14:17.377    14:17.377       19440           0      44104 MPI_Allreduce() 
 43.3          220    12:17.529         504      536555    1463352 libparmetis__KWayFM 
 12.9           19     3:38.880       27072       27072       8085 libparmetis__gkMPI_Waitall 
 12.9     3:38.861     3:38.861       27072           0       8084 MPI_Waitall() 
 12.8          254     3:38.281        4824        4824      45249 libparmetis__rprintf 
 12.8            4     3:38.026        4824        4824      45196 libparmetis__gkMPI_Barrier 
 12.8     3:38.022     3:38.022        4824           0      45195 MPI_Barrier() 
 12.8           16     3:37.129        2520       25200      86162 libparmetis__ComputeParallelBalance 
 12.1          267     3:25.438         504      519768     407616 libparmetis__Match_Global 
  8.7          146     2:27.614      308288      308288        479 libparmetis__gkMPI_Wait 
  8.7     2:27.468     2:27.468      308288           0        478 MPI_Wait() 
  8.3            2     2:20.642        3240        3240      43408 libparmetis__GlobalSESum 
  6.8          317     1:55.787        5904      988588      19612 libparmetis__CommChangedInterfaceData 
  3.7          154     1:03.561         504      246146     126114 libparmetis__CreateCoarseGraph_Global 
  3.5          404     1:00.162          72        1367     835597 ParallelReadGraph 
  3.2           33       54,450         576       42700      94532 libparmetis__ComputePartitionParams 
  2.9          101       49,361         576       60856      85696 libparmetis__CommSetup 
  2.9          128       49,039          72        3280     681104 libparmetis__InitPartition 
  2.6       44,419       44,419         355           0     125127 MPI_Recv() 
  2.6        0.363       44,195         284         284     155617 libparmetis__gkMPI_Recv 
  2.5           63       43,324        2088      181744      20750 libparmetis__CommInterfaceData 
  2.0        0.947       33,691         576         576      58492 libparmetis__gkMPI_Alltoall 
  2.0       33,690       33,690         576           0      58490 MPI_Alltoall() 
  1.7        0.527       28,481         576         576      49448 libparmetis__GlobalSEMin 
  1.6            1       28,051        2304        2304      12175 libparmetis__gkMPI_Bcast 
  1.6       28,049       28,049        2304           0      12174 MPI_Bcast() 
  1.6        0.705       27,827         648         648      42943 libparmetis__GlobalSEMax 
  1.6        0.541       27,777         576         576      48224 libparmetis__GlobalSEMinFloat 
  1.5        0.518       25,879         576         576      44929 libparmetis__GlobalSEMaxFloat 
  1.2           21       20,279          72         288     281654 libparmetis__CheckInputsPartKway 
  1.2        0.809       20,257          72          72     281348 libparmetis__GlobalSESumComm 
  1.1        0.883       19,469         576         576      33802 libparmetis__gkMPI_Allgather 
  1.1       19,468       19,468         576           0      33800 MPI_Allgather() 
  0.8           23       14,317          72        1296     198861 libparmetis__AssembleAdaptiveGraph 
  0.7            2       11,447          72         360     158990 libparmetis__gkMPI_Allgatherv 
  0.7       11,444       11,444          72           0     158954 MPI_Allgatherv() 
  0.7       11,338       11,338         144           0      78742 MPI_Comm_dup() 
  0.7         0.17       11,152          72         216     154899 libparmetis__PrintPostPartInfo 
  0.5           12        8,257          72         720     114687 libparmetis__SetupCtrl 
  0.5        0.301        7,797          72          72     108303 libparmetis__gkMPI_Comm_split 
  0.5        7,797        7,797          72           0     108299 MPI_Comm_split() 
  0.4           18        6,729         504       46144      13353 libparmetis__ProjectPartition 
  0.2          347        3,343      710438      710438          5 libparmetis__gkMPI_Isend 
  0.2          137        3,274         256        2560      12793 METIS_PartGraphRecursive 
  0.2        0.055        3,191          72          72      44329 libparmetis__GlobalSEMinComm 
  0.2            2        3,145          72         216      43689 libparmetis__SetupGraph 
  0.2        0.904        3,142          72         216      43643 libparmetis__SetupCtrl_invtvwgts 
  0.2        3,113        3,113         355           0       8771 MPI_Send() 
  0.2            5        3,072         256        2304      12001 libmetis__MlevelRecursiveBisection 
  0.2           52        3,062         256        2227      11964 libmetis__MultilevelBisect 
  0.2        2,995        2,995      710438           0          4 MPI_Isend() 
  0.2          201        2,760          72         428      38346 WritePVector 
  0.1            2        2,249        3722        3722        604 libmetis__FM_2WayRefine 
  0.1          442        2,247        3722 1.48146E+06        604 libmetis__FM_2WayCutRefine 
  0.1            2        1,754         328        6252       5350 libmetis__Refine2Way 
  0.1          280        1,503        9221      825428        163 libmetis__irandArrayPermute 
  0.1          491        1,225      827074      827074          1 libmetis__irandInRange 
  0.0        0.409          780         284         284       2747 libparmetis__gkMPI_Send 
  0.0          484          733      827074      827074          1 libmetis__irand 
  0.0            1          671         328         328       2048 libmetis__Init2WayPartition 
  0.0           56          670         328       12584       2045 libmetis__GrowBisection 
  0.0          340          642      710438      710438          1 libparmetis__gkMPI_Irecv 
  0.0            2          598         352        3584       1702 libmetis__CoarsenGraph 
  0.0          107          594        1828       18281        325 libmetis__Match_SHEM 
  0.0          225          349      568552      568552          1 libparmetis__gkMPI_Get_count 
  0.0            2          312          24         288      13002 METIS_PartGraphKway 
  0.0            7          308          24         264      12866 libmetis__MlevelKWayPartitioning 
  0.0          302          302      710438           0          0 MPI_Irecv() 
  0.0          276          276      827314           0          0 libmetis__rpqUpdate 
  0.0         0.53          257          24          96      10724 libmetis__InitKWayPartitioning 
  0.0          248          248      827074           0          0 gk_randint64 
  0.0          175          175        2593           0         68 libmetis__ikvsorti 
  0.0            2          163        1828        1828         89 libmetis__CreateCoarseGraph 
  0.0          109          160        1828       12796         88 libmetis__CreateCoarseGraphNoMask 
  0.0          138          138      423119           0          0 libmetis__rpqInsert 
  0.0          124          124      568552           0          0 MPI_Get_count() 
  0.0           66           82       73423       72771          1 gk_malloc 
  0.0           65           79        2154        4308         37 libmetis__ismalloc 
  0.0           28           67        1756        7024         39 libmetis__Project2WayPartition 
  0.0            6           64        7610       15220          9 libmetis__rpqCreate 
  0.0           42           64       36718       72987          2 gk_free 
  0.0           16           56       34401       34401          2 libmetis__imalloc 
  0.0           18           53       37203       37203          1 libparmetis__wspacemalloc 
  0.0            9           53        7610       15220          7 libmetis__rpqInit 
  0.0           30           51       61585       64910          1 gk_mcoreMalloc 
  0.0           49           49      127458           0          0 libmetis__rpqGetTop 
  0.0           44           44      140250           0          0 libparmetis__BSearch 
  0.0           21           39         280        2264        143 libmetis__SetupCtrl 
  0.0           10           39       24125       24125          2 libmetis__iwspacemalloc 
  0.0           10           39       18603       18603          2 libparmetis__iwspacemalloc 
  0.0            6           31        7610       15220          4 gk_idxsmalloc 
  0.0            6           29        7610       15220          4 libmetis__rpqDestroy 
  0.0           29           29        7438           0          4 libmetis__icopy 
  0.0           28           29          72         216        404 libparmetis__FreeCtrl 
  0.0           11           28       24382       24382          1 libmetis__wspacemalloc 
  0.0           28           28       24588           0          1 libmetis__iset 
  0.0           15           27          24         264       1154 libmetis__RefineKWay 
  0.0            4           24        2108       13636         11 libmetis__FreeGraph 
  0.0            7           23       13848       13848          2 libparmetis__rwspacemalloc 
  0.0            4           23        1828       12796         13 libmetis__SetupCoarseGraph 
  0.0           22           22       73779           0          0 gk_gkmcoreDel 
  0.0           19           20        1974        3948         11 libmetis__Compute2WayPartitionParams 
  0.0           12           20        3722        3792          6 libmetis__Balance2Way 
  0.0           19           19       83994           0          0 gk_mcoreAdd 
  0.0            3           19        2084       12504          9 libmetis__Allocate2WayPartitionMemory 
  0.0           13           19       22409       22409          1 gk_mcorePush 
  0.0           18           18        1828         144         10 libmetis__ReAdjustMemory 
  0.0            2           18         280        1656         66 libmetis__SetupGraph 
  0.0           18           18        7610           0          2 gk_idxset 
  0.0            9           17       22409        3325          1 gk_mcorePop 
  0.0           14           17        4132        4132          4 libmetis__rmalloc 
  0.0           16           16       74131           0          0 gk_gkmcoreAdd 
  0.0            2           15         280         280         56 libmetis__InitRandom 
  0.0            2           14         576        1728         25 libparmetis__FreeGraph 
  0.0            3           13        7610        7610          2 libmetis__rpqFree 
  0.0           12           13         280         280         48 libmetis__isrand 
  0.0            4           13        4752        4752          3 libparmetis__ikvwspacemalloc 
  0.0            5           12        1828        7312          7 libmetis__BucketSortKeysInc 
  0.0           10           12          72         288        173 libparmetis__FreeInitialGraphAndRemap 
  0.0            6           12        7610        7610          2 libmetis__rkvmalloc 
  0.0            5           12       10286       10286          1 libmetis__wspacepush 
  0.0           12           12       50900           0          0 libmetis__rpqDelete 
  0.0            8           11       40674         430          0 libparmetis__cnbrpoolGetNext 
  0.0           10           11         352         424         32 gk_malloc_init 
  0.0            9           10         232         696         44 libparmetis__KeepPart 
  0.0            5            8       10286       10286          1 libmetis__wspacepop 
  0.0            8            8          72           0        122 libparmetis__ComputeSerialEdgeCut 
  0.0            1            8        2204        2204          4 libmetis__FreeRData 
  0.0            7            7        2448           0          3 libparmetis__FastRandomPermute 
  0.0        0.558            7         648         648         11 libparmetis__FreeNonGraphFields 
  0.0            6            6        1008           0          7 libmetis__ikvsortii 
  0.0            2            5          72        7822         83 libmetis__ProjectKWayPartition 
  0.0            1            5          67        4553         83 libmetis__Bnd2WayBalance 
  0.0         0.61            5          96          96         54 libmetis__Greedy_KWayOptimize 
  0.0            2            4        2108        4216          2 libmetis__CreateGraph 
  0.0         0.94            4          96        2905         48 libmetis__Greedy_KWayCutOptimize 
  0.0            3            3        1008        1800          4 gk_realloc 
  0.0        0.955            3         280         560         12 libmetis__FreeCtrl 
  0.0            3            3        2043           0          2 libparmetis__RandomPermute 
  0.0            3            3       14298           0          0 libmetis__rpqReset 
  0.0            2            3         576         393          5 libparmetis__CommUpdateNnbrs 
  0.0            2            2       10000           0          0 libmetis__rset 
  0.0            2            2         352         424          8 gk_malloc_cleanup 
  0.0            2            2        3888           0          1 libmetis__isorti 
  0.0            1            2         648        1296          4 libparmetis__CreateGraph 
  0.0        0.409            1         376        1128          5 gk_mcoreCreate 
  0.0        0.983            1         928        1856          2 libmetis__rsmalloc 
  0.0            1            1         504         504          4 libmetis__ikvmalloc 
  0.0            1            1        3540           0          1 libmetis__isum 
  0.0        0.983            1         304         608          6 libmetis__FreeWorkSpace 
  0.0            1            1        8133          41          0 libmetis__cnbrpoolGetNext 
  0.0        0.244            1         304         304          5 libmetis__AllocateWorkSpace 
  0.0            1            1        4336           0          0 libmetis__rcopy 
  0.0        0.219            1           3         909        462 libmetis__General2WayBalance 
  0.0            1            1        4464           0          0 libparmetis__ravg 
  0.0        0.608            1          72          72         16 libparmetis__AllocateWSpace 
  0.0        0.672            1         256         256          5 libmetis__SetupGraph_label 
  0.0            1            1        1152           0          1 libmetis__iincset 
  0.0            1            1        4146           0          0 libmetis__ComputeLoadImbalanceDiff 
  0.0        0.585            1         360         360          3 libparmetis__gkMPI_Comm_size 
  0.0        0.589            1          72         216         15 libparmetis__ComputeSerialBalance 
  0.0         0.69            1         256         256          4 libmetis__rwspacemalloc 
  0.0        0.234            1         376         376          3 gk_mcoreDestroy 
  0.0        0.223        0.998         144         144          7 libparmetis__gkMPI_Comm_free 
  0.0        0.735        0.921          24         839         38 libmetis__ComputeKWayPartitionParams 
  0.0        0.912        0.912         216           0          4 MPI_Comm_free() 
  0.0        0.604        0.867         432         432          2 libparmetis__gkMPI_Comm_rank 
  0.0        0.155        0.712          96         480          7 libmetis__AllocateKWayPartitionMemory 
  0.0        0.571        0.678         352         352          2 gk_gkmcorePush 
  0.0        0.665        0.665         576           0          1 libparmetis__rargmin_strd 
  0.0         0.56         0.56         576           0          1 libparmetis__rargmax_strd 
  0.0        0.553        0.553        2108           0          0 libmetis__InitGraph 
  0.0         0.52         0.52         280           0          2 gk_sigtrap 
  0.0        0.509        0.509         432           0          1 MPI_Comm_size() 
  0.0        0.273        0.504          72          72          7 libparmetis__SetupGraph_nvwgts 
  0.0         0.47         0.47         280           0          2 gk_siguntrap 
  0.0        0.457        0.457         280           0          2 gk_randinit 
  0.0          0.1        0.444          72         144          6 libparmetis__FreeWSpace 
  0.0        0.178        0.423         280         280          2 libmetis__SetupGraph_tvwgt 
  0.0        0.116        0.419         144         144          3 libmetis__irealloc 
  0.0        0.405        0.405        1400           0          0 libmetis__rsum 
  0.0        0.085        0.402          72          72          6 libparmetis__AllocateRefinementWorkSpace 
  0.0        0.241        0.307         280         280          1 libmetis__CheckParams 
  0.0        0.283        0.283         648           0          0 libparmetis__InitGraph 
  0.0        0.263        0.263         432           0          1 MPI_Comm_rank() 
  0.0        0.091        0.215         144         144          1 gk_imalloc 
  0.0        0.201        0.201         549           0          0 libparmetis__IsHBalanceBetterFT 
  0.0         0.16         0.16          72           0          2 gk_gkmcoreCreate 
  0.0        0.117        0.159          96          96          2 METIS_SetDefaultOptions 
  0.0        0.143        0.143         512           0          0 libmetis__rscale 
  0.0        0.102        0.102         352           0          0 gk_gkmcorePop 
  0.0        0.083        0.083         256           0          0 libmetis__Setup2WayBalMultipliers 
  0.0        0.075        0.075         280           0          0 libmetis__metis_rcode 
  0.0        0.028        0.062           1           2         62 libmetis__Match_2Hop 
  0.0        0.056        0.056         144           0          0 gk_GetCurMemoryUsed 
  0.0        0.031        0.055          72          72          1 libmetis__IsBalanced 
  0.0        0.052        0.052         177           0          0 libparmetis__IsHBalanceBetterTT 
  0.0        0.014        0.037          24          24          2 libmetis__AllocateRefinementWorkSpace 
  0.0        0.034        0.034          72           0          0 libparmetis__ParallelReMapGraph 
  0.0        0.029        0.029          72           0          0 gk_gkmcoreDestroy 
  0.0        0.029        0.029          72           0          0 libparmetis__InitTimers 
  0.0        0.025        0.025          96           0          0 libmetis__cnbrpoolReset 
  0.0        0.016        0.023           1           6         23 libmetis__Match_2HopAll 
  0.0        0.003        0.011           1           5         11 libmetis__Match_2HopAny 
  0.0         0.01         0.01          24           0          0 libmetis__SetupKWayBalMultipliers 
  0.0        0.009        0.009          24           0          0 gk_log2 
  0.0        0.001        0.007           1           1          7 gk_cmalloc 
  0.0        0.001        0.002           1           1          2 libmetis__ikvwspacemalloc 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            3       23,632           1           1   23632218 .TAU application
100.0        1,240       23,629           1          13   23629073 main 
 90.5            1       21,396           1          16   21396004 ParMETIS_V3_PartKway 
 87.6            1       20,702           8         214    2587871 libparmetis__Global_Partition 
