Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          445    36:21.758          72          72   30302203 .TAU application
100.0     1:52.543    36:21.313          72         936   30296021 main 
 91.3          108    33:11.592          72        1152   27661011 ParMETIS_V3_PartKway 
 89.1          140    32:22.892         576       15408    3373077 libparmetis__Global_Partition 
 52.5           81    19:04.745       19944       19944      57398 libparmetis__gkMPI_Allreduce 
 52.5    19:04.663    19:04.663       19944           0      57394 MPI_Allreduce() 
 48.1          282    17:29.845         504      554224    2083026 libparmetis__KWayFM 
 14.1           26     5:06.865        2592       25920     118389 libparmetis__ComputeParallelBalance 
 12.9          194     4:41.003        4824        4824      58251 libparmetis__rprintf 
 12.9            8     4:40.809        4824        4824      58211 libparmetis__gkMPI_Barrier 
 12.9     4:40.801     4:40.801        4824           0      58209 MPI_Barrier() 
 12.1           23     4:24.418       27504       27504       9614 libparmetis__gkMPI_Waitall 
 12.1     4:24.394     4:24.394       27504           0       9613 MPI_Waitall() 
  9.3          251     3:23.284         504      519768     403343 libparmetis__Match_Global 
  9.1          149     3:18.385      313980      313980        632 libparmetis__gkMPI_Wait 
  9.1     3:18.236     3:18.236      313980           0        631 MPI_Wait() 
  8.6            4     3:08.004        3312        3312      56765 libparmetis__GlobalSESum 
  7.5          338     2:43.219        6048 1.01005E+06      26987 libparmetis__CommChangedInterfaceData 
  4.2           30     1:30.821         576       25740     157676 libparmetis__ComputePartitionParams 
  3.6          168     1:18.828         504      246146     156406 libparmetis__CreateCoarseGraph_Global 
  3.1          351     1:06.985          72        1367     930359 ParallelReadGraph 
  2.6           66       57,049        2088      181744      27322 libparmetis__CommInterfaceData 
  2.1          127       46,154         576       60856      80130 libparmetis__CommSetup 
  2.1          129       45,562          72        3040     632817 libparmetis__InitPartition 
  2.1       44,939       44,939         355           0     126590 MPI_Recv() 
  2.0         0.39       44,719         284         284     157462 libparmetis__gkMPI_Recv 
  1.8            2       39,770        2376        2376      16738 libparmetis__gkMPI_Bcast 
  1.8       39,767       39,767        2376           0      16737 MPI_Bcast() 
  1.8        0.949       39,036         576         576      67772 libparmetis__GlobalSEMaxFloat 
  1.5        0.858       33,001         576         576      57294 libparmetis__GlobalSEMinFloat 
  1.4        0.832       30,113         648         648      46472 libparmetis__GlobalSEMax 
  1.3        0.668       28,203         576         576      48965 libparmetis__GlobalSEMin 
  1.2            1       26,979         576         576      46840 libparmetis__gkMPI_Alltoall 
  1.2       26,978       26,978         576           0      46838 MPI_Alltoall() 
  1.1            1       24,615         576         576      42735 libparmetis__gkMPI_Allgather 
  1.1       24,614       24,614         576           0      42733 MPI_Allgather() 
  1.0           22       21,798          72         288     302752 libparmetis__CheckInputsPartKway 
  1.0        0.819       21,775          72          72     302440 libparmetis__GlobalSESumComm 
  0.8           28       16,429          72        1296     228193 libparmetis__AssembleAdaptiveGraph 
  0.6            2       13,388          72         360     185951 libparmetis__gkMPI_Allgatherv 
  0.6       13,385       13,385          72           0     185913 MPI_Allgatherv() 
  0.5       11,873       11,873         144           0      82456 MPI_Comm_dup() 
  0.5           17       10,200         504       46144      20238 libparmetis__ProjectPartition 
  0.4        0.181        8,911          72         216     123767 libparmetis__PrintPostPartInfo 
  0.4           13        8,669          72         720     120414 libparmetis__SetupCtrl 
  0.3        0.333        5,574          72          72      77418 libparmetis__gkMPI_Comm_split 
  0.3        5,573        5,573          72           0      77414 MPI_Comm_split() 
  0.2         0.06        4,024          72          72      55891 libparmetis__GlobalSEMinComm 
  0.2          379        3,866      721822      721822          5 libparmetis__gkMPI_Isend 
  0.2        3,487        3,487      721822           0          5 MPI_Isend() 
  0.1            1        2,868          72         216      39842 libparmetis__SetupGraph 
  0.1            1        2,865          72         216      39797 libparmetis__SetupCtrl_invtvwgts 
  0.1        2,574        2,574         355           0       7251 MPI_Send() 
  0.1          119        2,533         184        1840      13771 METIS_PartGraphRecursive 
  0.1           13        2,376         184        1656      12915 libmetis__MlevelRecursiveBisection 
  0.1           53        2,359         184        1288      12826 libmetis__MultilevelBisect 
  0.1          179        2,186          72         428      30370 WritePVector 
  0.1            2        1,674        2420        2420        692 libmetis__FM_2WayRefine 
  0.1          459        1,672        2420 1.04959E+06        691 libmetis__FM_2WayCutRefine 
  0.1            2        1,389         184        4500       7553 libmetis__Refine2Way 
  0.0          161        1,058        5979      633260        177 libmetis__irandArrayPermute 
  0.0          364          897      634180      634180          1 libmetis__irandInRange 
  0.0          344          808      721822      721822          1 libparmetis__gkMPI_Irecv 
  0.0        0.225          788         284         284       2778 libparmetis__gkMPI_Send 
  0.0          349          533      634180      634180          1 libmetis__irand 
  0.0            1          475         184        2632       2584 libmetis__CoarsenGraph 
  0.0           77          471        1316       13160        358 libmetis__Match_SHEM 
  0.0          463          463      721822           0          1 MPI_Irecv() 
  0.0        0.967          441         184         184       2398 libmetis__Init2WayPartition 
  0.0           54          440         184        7055       2393 libmetis__GrowBisection 
  0.0          277          407      579936      579936          1 libparmetis__gkMPI_Get_count 
  0.0          196          196      576531           0          0 libmetis__rpqUpdate 
  0.0          183          183      634180           0          0 gk_randint64 
  0.0          139          139        2592           0         54 libmetis__ikvsorti 
  0.0            1          132        1316        1316        101 libmetis__CreateCoarseGraph 
  0.0           87          130        1316        9212         99 libmetis__CreateCoarseGraphNoMask 
  0.0          130          130      579936           0          0 MPI_Get_count() 
  0.0           59           73       55377       54725          1 gk_malloc 
  0.0           69           69      314604           0          0 libmetis__rpqInsert 
  0.0           51           66       26344       54941          3 gk_free 
  0.0           48           64        2058        4116         31 libmetis__ismalloc 
  0.0           27           63       27345       27345          2 libmetis__imalloc 
  0.0           28           58       18193       18193          3 libparmetis__iwspacemalloc 
  0.0           19           56       37057       37057          2 libparmetis__wspacemalloc 
  0.0           25           54        1316        5264         41 libmetis__Project2WayPartition 
  0.0           27           48       53001       55768          1 gk_mcoreMalloc 
  0.0           44           44      140250           0          0 libparmetis__BSearch 
  0.0            7           41       15760       15760          3 libmetis__iwspacemalloc 
  0.0           23           34       15944       15944          2 libmetis__wspacemalloc 
  0.0            4           33        4866        9732          7 libmetis__rpqDestroy 
  0.0            4           31        4866        9732          6 libmetis__rpqCreate 
  0.0           31           31        6148           0          5 libmetis__icopy 
  0.0           10           27         184        1472        147 libmetis__SetupCtrl 
  0.0            2           26        4866        4866          5 libmetis__rpqFree 
  0.0            8           25       14112       14112          2 libparmetis__rwspacemalloc 
  0.0           24           25         184         552        138 libparmetis__KeepPart 
