Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          176    22:31.965          72          72   18777298 .TAU application
100.0     1:46.013    22:31.788          72         936   18774845 main 
 87.3          108    19:39.698          72        1152   16384702 ParMETIS_V3_RefineKway 
 83.0          138    18:42.676         504       11232    2227533 libparmetis__Adaptive_Partition 
 56.9           20    12:48.862       17424       17424      44127 libparmetis__gkMPI_Allreduce 
 56.9    12:48.842    12:48.842       17424           0      44125 MPI_Allreduce() 
 49.5          472    11:08.549         432      496047    1547569 libparmetis__KWayAdaptiveRefine 
 15.1           17     3:23.969        2304       23040      88528 libparmetis__ComputeParallelBalance 
 13.2            8     2:57.889        3960        3960      44922 libparmetis__GlobalSESum 
 12.4           17     2:46.997       24480       24480       6822 libparmetis__gkMPI_Waitall 
 12.4     2:46.980     2:46.980       24480           0       6821 MPI_Waitall() 
 10.0          238     2:14.843         432      450672     312139 libparmetis__Match_Global 
  7.5           25     1:41.174        2232        2232      45329 libparmetis__rprintf 
  7.5            2     1:41.148        2232        2232      45318 libparmetis__gkMPI_Barrier 
  7.5     1:41.146     1:41.146        2232           0      45316 MPI_Barrier() 
  7.3          113     1:38.978      225504      225504        439 libparmetis__gkMPI_Wait 
  7.3     1:38.864     1:38.864      225504           0        438 MPI_Wait() 
  6.9          307     1:33.857        5184      882520      18105 libparmetis__CommChangedInterfaceData 
  4.2          352       56,580          72        1367     785840 ParallelReadGraph 
  3.3           72       44,842        2232      196440      20091 libparmetis__CommInterfaceData 
  3.2           96       42,800         504      136015      84921 libparmetis__ComputePartitionParams 
  2.9       38,548       38,548         355           0     108587 MPI_Recv() 
  2.8        0.343       38,325         284         284     134949 libparmetis__gkMPI_Recv 
  2.5           99       34,049         432       64100      78818 libparmetis__CreateCoarseGraph_Global 
  2.2          172       29,853         504       53920      59233 libparmetis__CommSetup 
  1.9        0.559       25,201         576         576      43753 libparmetis__GlobalSEMax 
  1.7           29       23,476          72         288     326062 libparmetis__CheckInputsPartKway 
  1.7        0.815       23,446          72          72     325647 libparmetis__GlobalSESumComm 
  1.5            2       20,070        2016        2016       9956 libparmetis__gkMPI_Bcast 
  1.5       20,068       20,068        2016           0       9955 MPI_Bcast() 
  1.4        0.833       18,463         504         504      36633 libparmetis__gkMPI_Alltoall 
  1.4       18,462       18,462         504           0      36632 MPI_Alltoall() 
  1.3        0.436       18,069         504         504      35853 libparmetis__GlobalSEMin 
  1.0           15       14,096          72         288     195787 libparmetis__PrintPostPartInfo 
  1.0        0.668       13,554         432         432      31377 libparmetis__gkMPI_Allgather 
  1.0       13,554       13,554         432           0      31375 MPI_Allgather() 
  0.8            3       11,035          72         648     153276 libparmetis__SetupGraph 
  0.6        8,402        8,402         144           0      58351 MPI_Comm_dup() 
  0.6            6        7,776          72         936     108012 libparmetis__Mc_ComputeMoveStatistics 
  0.4           12        5,814          72         720      80753 libparmetis__SetupCtrl 
  0.3        3,830        3,830         355           0      10791 MPI_Send() 
  0.3          175        3,465          72         428      48138 WritePVector 
  0.2        0.108        3,209          72         216      44575 libparmetis__SetupCtrl_invtvwgts 
  0.2          314        3,102      620808      620808          5 libparmetis__gkMPI_Isend 
  0.2            7        3,062         432        9040       7089 libparmetis__ProjectPartition 
  0.2        2,787        2,787      620808           0          4 MPI_Isend() 
  0.2        0.056        2,452          72          72      34063 libparmetis__GlobalSEMinComm 
  0.1        0.181          764         284         284       2691 libparmetis__gkMPI_Send 
  0.0          306          567      620808      620808          1 libparmetis__gkMPI_Irecv 
  0.0          214          327      502096      502096          1 libparmetis__gkMPI_Get_count 
  0.0          261          261      620808           0          0 MPI_Irecv() 
  0.0          166          166        2232           0         74 libmetis__ikvsorti 
  0.0          113          113      502096           0          0 MPI_Get_count() 
  0.0           49           65        2162        4324         30 libmetis__ismalloc 
  0.0           18           53       33670       33670          2 libparmetis__wspacemalloc 
  0.0           27           41      136345         405          0 libparmetis__cnbrpoolGetNext 
  0.0           10           38       17254       17254          2 libparmetis__iwspacemalloc 
  0.0           30           35       17614       16962          2 gk_malloc 
  0.0           19           35       33670       36232          1 gk_mcoreMalloc 
  0.0           24           24        5186           0          5 libmetis__iset 
  0.0            4           22        9289        9289          2 libmetis__imalloc 
  0.0            6           21       12312       12312          2 libparmetis__rwspacemalloc 
  0.0           16           21        5083       17178          4 gk_free 
  0.0           20           20        6094           0          3 libmetis__icopy 
  0.0           17           17        3456           0          5 libmetis__isorti 
  0.0           14           14         729        1242         20 gk_realloc 
  0.0            9           14       12358       12358          1 gk_mcorePush 
  0.0            2           13        4104        4104          3 libparmetis__ikvwspacemalloc 
  0.0           12           12       46028           0          0 gk_mcoreAdd 
  0.0            7           12       12358        2562          1 gk_mcorePop 
  0.0           12           12        2232           0          6 libmetis__isum 
  0.0           10           11          72         288        166 libparmetis__FreeInitialGraphAndRemap 
  0.0           10           11          72         144        156 gk_malloc_init 
  0.0           10           10       33492           0          0 libparmetis__BSearch 
  0.0            2           10          72         216        148 libparmetis__FreeCtrl 
  0.0            1            9         432        1296         22 libparmetis__FreeGraph 
  0.0            8            8        3888        1601          2 libparmetis__FastRandomPermute 
  0.0            1            7          72         144         98 libparmetis__FreeWSpace 
  0.0        0.414            6         504         504         13 libparmetis__FreeNonGraphFields 
  0.0            5            5       17763           0          0 gk_gkmcoreAdd 
  0.0            4            4       17691           0          0 gk_gkmcoreDel 
  0.0            4            4        3353           0          1 libparmetis__RandomPermute 
  0.0            2            2         504         324          6 libparmetis__CommUpdateNnbrs 
  0.0            2            2       10511           0          0 libparmetis__IsHBalanceBetterTT 
  0.0            2            2        8784           0          0 libmetis__rset 
  0.0         0.64            1        1224        1224          2 libmetis__rmalloc 
  0.0            1            1         504        1008          4 libparmetis__CreateGraph 
  0.0            1            1          72         144         22 gk_malloc_cleanup 
  0.0            1            1        3600           0          0 libmetis__rcopy 
  0.0            1            1         864           0          2 libmetis__ikvsortii 
  0.0        0.722            1          72          72         18 libparmetis__AllocateWSpace 
  0.0            1            1        4032           0          0 libparmetis__ravg 
  0.0        0.587            1         576        1152          2 libmetis__rsmalloc 
  0.0        0.402            1         432         432          3 libmetis__ikvmalloc 
  0.0          0.6            1         288         288          4 libparmetis__gkMPI_Comm_size 
  0.0        0.163        0.941          72          72         13 libparmetis__gkMPI_Comm_free 
  0.0        0.935        0.935         144           0          6 MPI_Comm_free() 
  0.0        0.486        0.731         360         360          2 libparmetis__gkMPI_Comm_rank 
  0.0        0.698        0.698         936           0          1 libmetis__iincset 
  0.0         0.65         0.65        2110           0          0 libparmetis__IsHBalanceBetterFT 
  0.0        0.063        0.593          72         216          8 gk_mcoreCreate 
  0.0        0.094        0.573          72          72          8 libparmetis__AllocateRefinementWorkSpace 
  0.0        0.289        0.529          72          72          7 libparmetis__SetupGraph_nvwgts 
  0.0        0.481        0.481         288           0          2 MPI_Comm_size() 
  0.0        0.412        0.434          72          72          6 gk_gkmcorePush 
  0.0        0.245        0.245         360           0          1 MPI_Comm_rank() 
  0.0        0.223        0.223         504           0          0 libparmetis__InitGraph 
  0.0        0.049        0.216          72          72          3 gk_mcoreDestroy 
  0.0        0.157        0.157          72           0          2 gk_gkmcoreCreate 
  0.0        0.061        0.061         144           0          0 gk_GetCurMemoryUsed 
  0.0        0.056        0.056          72           0          1 libparmetis__ParallelReMapGraph 
  0.0        0.051        0.051         144           0          0 libmetis__imax 
  0.0        0.043        0.043          72           0          1 libmetis__rsum 
  0.0        0.035        0.035          72           0          0 libparmetis__InitTimers 
  0.0        0.031        0.031          72           0          0 gk_gkmcoreDestroy 
  0.0        0.021        0.021          72           0          0 gk_gkmcorePop 
  0.0        0.002         0.01           1           1         10 gk_cmalloc 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            2       18,777           1           1   18777298 .TAU application
100.0        1,472       18,774           1          13   18774845 main 
