Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           65     8:45.759          24          24   21906643 .TAU application
100.0       23,577     8:45.693          24         312   21903911 main 
 93.9           47     8:13.682          24         384   20570112 ParMETIS_V3_PartKway 
 92.4           51     8:05.678         240        6432    2023659 libparmetis__Global_Partition 
 51.8           15     4:32.108        8256        8256      32959 libparmetis__gkMPI_Allreduce 
 51.8     4:32.092     4:32.092        8256           0      32957 MPI_Allreduce() 
 47.7          136     4:10.960         216      114362    1161856 libparmetis__KWayFM 
 14.3            9     1:15.292       11616       11616       6482 libparmetis__gkMPI_Waitall 
 14.3     1:15.282     1:15.282       11616           0       6481 MPI_Waitall() 
 14.1          212     1:14.074        1992        1992      37186 libparmetis__rprintf 
 14.0            3     1:13.862        1992        1992      37080 libparmetis__gkMPI_Barrier 
 14.0     1:13.858     1:13.858        1992           0      37078 MPI_Barrier() 
 13.4           14     1:10.296        1080       10800      65090 libparmetis__ComputeParallelBalance 
 12.5          140     1:05.828         216      100920     304760 libparmetis__Match_Global 
 10.2           29       53,632       60116       60116        892 libparmetis__gkMPI_Wait 
 10.2       53,603       53,603       60116           0        892 MPI_Wait() 
  8.6            1       45,109        1368        1368      32975 libparmetis__GlobalSESum 
  8.4           86       44,274        2544      187368      17404 libparmetis__CommChangedInterfaceData 
  3.7           49       19,531         240       39781      81381 libparmetis__ComputePartitionParams 
  3.7          118       19,275         216      128635      89237 libparmetis__CreateCoarseGraph_Global 
  3.2           24       16,986         888       35632      19129 libparmetis__CommInterfaceData 
  1.8           71        9,638         240       14152      40159 libparmetis__CommSetup 
  1.8        0.499        9,391         240         240      39132 libparmetis__GlobalSEMaxFloat 
  1.6        0.351        8,457         240         240      35241 libparmetis__GlobalSEMin 
  1.5           58        8,129          24         976     338709 libparmetis__InitPartition 
  1.5        0.407        7,941         240         240      33089 libparmetis__GlobalSEMinFloat 
  1.4        0.402        7,222         264         264      27356 libparmetis__GlobalSEMax 
  1.2          147        6,066          24         455     252787 ParallelReadGraph 
  1.1        0.448        6,021         240         240      25088 libparmetis__gkMPI_Alltoall 
  1.1        6,020        6,020         240           0      25086 MPI_Alltoall() 
  1.1        0.383        6,005         240         240      25022 libparmetis__gkMPI_Allgather 
  1.1        6,004        6,004         240           0      25021 MPI_Allgather() 
  0.9        4,639        4,639         115           0      40340 MPI_Recv() 
  0.9        0.118        4,637          92          92      50410 libparmetis__gkMPI_Recv 
  0.7            6        3,737         216       11288      17302 libparmetis__ProjectPartition 
  0.5        2,444        2,444          48           0      50923 MPI_Comm_dup() 
  0.4        0.093        2,316          24          72      96518 libparmetis__PrintPostPartInfo 
  0.3            2        1,745          24         432      72726 libparmetis__AssembleAdaptiveGraph 
  0.3            7        1,581          24          96      65902 libparmetis__CheckInputsPartKway 
  0.3        0.312        1,573          24          24      65582 libparmetis__GlobalSESumComm 
  0.3            5        1,561          24         240      65080 libparmetis__SetupCtrl 
  0.3           21        1,442          64         640      22535 METIS_PartGraphRecursive 
  0.3            2        1,408         112        1128      12572 libmetis__MlevelRecursiveBisection 
  0.3           65        1,401         112        2092      12513 libmetis__MultilevelBisect 
  0.2         0.09        1,304          24          24      54341 libparmetis__gkMPI_Comm_split 
  0.2        1,304        1,304          24           0      54337 MPI_Comm_split() 
  0.2            1        1,142          24         120      47621 libparmetis__gkMPI_Allgatherv 
  0.2        1,141        1,141          24           0      47572 MPI_Allgatherv() 
  0.2            2        1,129          24         288      47062 METIS_PartGraphKway 
  0.2            1        1,126        2939        2939        383 libmetis__FM_2WayRefine 
  0.2            7        1,126          24         264      46931 libmetis__MlevelKWayPartitioning 
  0.2          295        1,124        2939      772348        383 libmetis__FM_2WayCutRefine 
  0.2        0.514        1,076          24          96      44836 libmetis__InitKWayPartitioning 
  0.2        0.924        1,073         960         960       1118 libparmetis__gkMPI_Bcast 
  0.2        1,072        1,072         960           0       1117 MPI_Bcast() 
  0.2        0.032          942          24          24      39269 libparmetis__GlobalSEMinComm 
  0.1        0.922          779          24          72      32461 libparmetis__SetupGraph 
  0.1        0.524          777          24          72      32390 libparmetis__SetupCtrl_invtvwgts 
  0.1          205          687          24         140      28637 WritePVector 
  0.1          675          675         115           0       5870 MPI_Send() 
  0.1        0.492          644         328         328       1964 libmetis__Init2WayPartition 
  0.1           21          643         328       12736       1962 libmetis__GrowBisection 
  0.1            1          584         328        3831       1782 libmetis__Refine2Way 
  0.1           57          489      132256      132256          4 libparmetis__gkMPI_Isend 
  0.1          103          486        6674      263116         73 libmetis__irandArrayPermute 
  0.1          431          431      132256           0          3 MPI_Isend() 
  0.1          135          385      264778      264778          1 libmetis__irandInRange 
  0.0          185          250      264778      264778          1 libmetis__irand 
  0.0        0.063          195          92          92       2120 libparmetis__gkMPI_Send 
  0.0          138          138      459474           0          0 libmetis__rpqUpdate 
  0.0          120          120        1107           0        108 libmetis__ikvsorti 
  0.0           54          116      132256      132256          1 libparmetis__gkMPI_Irecv 
  0.0        0.905          111         352        1772        318 libmetis__CoarsenGraph 
  0.0           30          110         994        9943        111 libmetis__Match_SHEM 
  0.0           41           86       22928       43240          4 gk_free 
  0.0           41           65      104808      104808          1 libparmetis__gkMPI_Get_count 
  0.0           64           64      264778           0          0 gk_randint64 
  0.0           61           61      132256           0          0 MPI_Irecv() 
  0.0           23           59       16835       16835          4 libmetis__iwspacemalloc 
  0.0           20           59        6024       12048         10 libmetis__rpqDestroy 
  0.0            7           56         949        3796         59 libmetis__Project2WayPartition 
  0.0           30           50       18495       18495          3 libmetis__imalloc 
  0.0           34           48       43388       43168          1 gk_malloc 
  0.0           45           45       43505           0          1 gk_gkmcoreDel 
  0.0           18           43       32912       34017          1 gk_mcoreMalloc 
  0.0            2           41        1162        7782         35 libmetis__FreeGraph 
  0.0           38           38      164433           0          0 libmetis__rpqInsert 
  0.0            4           36        6024       12048          6 libmetis__rpqCreate 
  0.0           17           36          24         278       1503 libmetis__RefineKWay 
  0.0            7           35       16950       16950          2 libmetis__wspacemalloc 
  0.0           35           35       93696           0          0 libmetis__rpqGetTop 
  0.0            2           34        6024        6024          6 libmetis__rpqFree 
  0.0           33           33      100227           0          0 libparmetis__BSearch 
  0.0        0.803           31         994         994         32 libmetis__CreateCoarseGraph 
  0.0           14           30         994        6958         31 libmetis__CreateCoarseGraphNoMask 
  0.0           17           27         858        1716         32 libmetis__ismalloc 
  0.0           26           26       44904           0          1 gk_mcoreAdd 
  0.0            8           24       15962       15962          2 libparmetis__wspacemalloc 
  0.0            5           23        6024       12048          4 libmetis__rpqInit 
  0.0           23           23      104808           0          0 MPI_Get_count() 
  0.0        0.731           21        1402        1402         15 libmetis__FreeRData 
  0.0           20           20       19863           0          1 libmetis__rpqDelete 
  0.0           19           19       17202           0          1 libmetis__iset 
  0.0           19           19        4137           0          5 libmetis__icopy 
  0.0            4           16        8018        8018          2 libparmetis__iwspacemalloc 
  0.0            9           14       39633         214          0 libparmetis__cnbrpoolGetNext 
  0.0            5           14        5928        5928          2 libparmetis__rwspacemalloc 
  0.0           13           13       43617           0          0 gk_gkmcoreAdd 
  0.0            2           12         994        6958         12 libmetis__SetupCoarseGraph 
  0.0            2           12        1277        7662          9 libmetis__Allocate2WayPartitionMemory 
  0.0        0.576           11         102         102        113 libmetis__Greedy_KWayOptimize 
  0.0            2           10         102       10085        107 libmetis__Greedy_KWayCutOptimize 
  0.0            4           10        6024       12048          2 gk_idxsmalloc 
  0.0            7           10       11992       11992          1 gk_mcorePush 
  0.0            5            9        2939        2983          3 libmetis__Balance2Way 
