Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           35     8:46.013          24          24   21917241 .TAU application
100.0       23,287     8:45.978          24         312   21915769 main 
 93.8           31     8:13.595          24         384   20566488 ParMETIS_V3_PartKway 
 91.9           52     8:03.149         240        6432    2013125 libparmetis__Global_Partition 
 50.6           12     4:25.969        7920        7920      33582 libparmetis__gkMPI_Allreduce 
 50.6     4:25.957     4:25.957        7920           0      33580 MPI_Allreduce() 
 45.8          106     4:00.696         216      107410    1114335 libparmetis__KWayFM 
 14.5          220     1:16.513        1992        1992      38410 libparmetis__rprintf 
 14.5            2     1:16.293        1992        1992      38300 libparmetis__gkMPI_Barrier 
 14.5     1:16.290     1:16.290        1992           0      38299 MPI_Barrier() 
 14.4           12     1:15.568        1032       10320      73226 libparmetis__ComputeParallelBalance 
 14.3           10     1:15.249       11328       11328       6643 libparmetis__gkMPI_Waitall 
 14.3     1:15.239     1:15.239       11328           0       6642 MPI_Waitall() 
 12.7          123     1:06.979         216      100920     310089 libparmetis__Match_Global 
 10.6           27       55,621       58444       58444        952 libparmetis__gkMPI_Wait 
 10.6       55,594       55,594       58444           0        951 MPI_Wait() 
  8.6           89       45,281        2448      179720      18497 libparmetis__CommChangedInterfaceData 
  8.3            1       43,774        1320        1320      33163 libparmetis__GlobalSESum 
  3.7          110       19,419         216      128635      89907 libparmetis__CreateCoarseGraph_Global 
  3.6           45       18,956         240       24536      78985 libparmetis__ComputePartitionParams 
  3.3           25       17,442         888       35632      19643 libparmetis__CommInterfaceData 
  2.2           97       11,331         240       14152      47213 libparmetis__CommSetup 
  2.0           40       10,616          24         960     442340 libparmetis__InitPartition 
  1.8        0.274        9,346         240         240      38944 libparmetis__GlobalSEMaxFloat 
  1.7        0.222        8,704         240         240      36268 libparmetis__GlobalSEMin 
  1.5        0.247        8,132         240         240      33887 libparmetis__GlobalSEMinFloat 
  1.5        0.319        7,733         264         264      29292 libparmetis__GlobalSEMax 
  1.4          157        7,128          24         455     297036 ParallelReadGraph 
  1.2         0.45        6,118         240         240      25492 libparmetis__gkMPI_Alltoall 
  1.2        6,117        6,117         240           0      25490 MPI_Alltoall() 
  1.1        0.418        5,978         240         240      24911 libparmetis__gkMPI_Allgather 
  1.1        5,978        5,978         240           0      24909 MPI_Allgather() 
  1.0        5,041        5,041         115           0      43835 MPI_Recv() 
  1.0        0.096        5,039          92          92      54778 libparmetis__gkMPI_Recv 
  0.8            7        4,459         216       11288      20647 libparmetis__ProjectPartition 
  0.8        0.109        4,101          24          72     170897 libparmetis__PrintPostPartInfo 
  0.6        0.126        3,065          24          24     127737 libparmetis__gkMPI_Comm_split 
  0.6        3,065        3,065          24           0     127732 MPI_Comm_split() 
  0.4            3        2,212          24         432      92190 libparmetis__AssembleAdaptiveGraph 
  0.4        2,189        2,189          48           0      45619 MPI_Comm_dup() 
  0.4            7        1,845          24          96      76886 libparmetis__CheckInputsPartKway 
  0.3        0.296        1,838          24          24      76587 libparmetis__GlobalSESumComm 
  0.3            4        1,702          24         240      70936 libparmetis__SetupCtrl 
  0.3        0.818        1,695         912         912       1859 libparmetis__gkMPI_Bcast 
  0.3        1,694        1,694         912           0       1858 MPI_Bcast() 
  0.3        0.865        1,684          24         120      70179 libparmetis__gkMPI_Allgatherv 
  0.3        1,683        1,683          24           0      70136 MPI_Allgatherv() 
  0.2        0.039        1,096          24          24      45675 libparmetis__GlobalSEMinComm 
  0.2        0.644          913          24          72      38061 libparmetis__SetupGraph 
  0.2        0.355          912          24          72      38009 libparmetis__SetupCtrl_invtvwgts 
  0.1           24          692          56         560      12357 METIS_PartGraphRecursive 
  0.1          668          668         115           0       5810 MPI_Send() 
  0.1            2          654          64         600      10232 libmetis__MlevelRecursiveBisection 
  0.1           21          650          64         902      10169 libmetis__MultilevelBisect 
  0.1          173          601          24         140      25051 WritePVector 
  0.1           74          527      128912      128912          4 libparmetis__gkMPI_Isend 
  0.1            1          470        1275        1275        369 libmetis__FM_2WayRefine 
  0.1          133          469        1275      341976        368 libmetis__FM_2WayCutRefine 
  0.1          453          453      128912           0          4 MPI_Isend() 
  0.1            1          414          16         192      25892 METIS_PartGraphKway 
  0.1            4          411          16         176      25749 libmetis__MlevelKWayPartitioning 
  0.1        0.388          326          16          64      20414 libmetis__InitKWayPartitioning 
  0.1        0.855          283         136        1755       2083 libmetis__Refine2Way 
  0.0        0.387          250         136         136       1846 libmetis__Init2WayPartition 
  0.0           37          250         136        5276       1843 libmetis__GrowBisection 
  0.0        0.043          242          92          92       2637 libparmetis__gkMPI_Send 
  0.0           33          215        2976      128228         72 libmetis__irandArrayPermute 
  0.0           74          182      128918      128918          1 libmetis__irandInRange 
  0.0          116          116        1106           0        106 libmetis__ikvsorti 
  0.0           55          113      128912      128912          1 libparmetis__gkMPI_Irecv 
  0.0           60          107      128918      128918          1 libmetis__irand 
  0.0        0.615          101         152         922        665 libmetis__CoarsenGraph 
  0.0           12           99         497        4972        201 libmetis__Match_SHEM 
  0.0           29           73          16         206       4601 libmetis__RefineKWay 
  0.0           39           62      101464      101464          1 libparmetis__gkMPI_Get_count 
  0.0           61           61      201149           0          0 libmetis__rpqUpdate 
  0.0           55           61       24316       24096          3 gk_malloc 
  0.0           58           58      128912           0          0 MPI_Irecv() 
  0.0        0.576           53         497         497        108 libmetis__CreateCoarseGraph 
  0.0           11           53         497        3479        107 libmetis__CreateCoarseGraphNoMask 
  0.0           47           47      128918           0          0 gk_randint64 
  0.0            1           38         497        3479         78 libmetis__SetupCoarseGraph 
  0.0        0.374           38          78          78        495 libmetis__Greedy_KWayOptimize 
  0.0           17           38          78        5083        490 libmetis__Greedy_KWayCutOptimize 
  0.0            5           35       11077       11077          3 libmetis__imalloc 
