Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           49     5:49.461          24          24   14560882 .TAU application
100.0       22,177     5:49.411          24         312   14558816 main 
 91.3           34     5:18.907          24         384   13287833 ParMETIS_V3_RefineKway 
 87.6           43     5:06.256         168        3744    1822954 libparmetis__Adaptive_Partition 
 55.3            4     3:13.349        5808        5808      33290 libparmetis__gkMPI_Allreduce 
 55.3     3:13.344     3:13.344        5808           0      33289 MPI_Allreduce() 
 49.9          194     2:54.366         144       87974    1210879 libparmetis__KWayAdaptiveRefine 
 15.3            4       53,305        8160        8160       6532 libparmetis__gkMPI_Waitall 
 15.3       53,300       53,300        8160           0       6532 MPI_Waitall() 
 14.1            6       49,365         768        7680      64278 libparmetis__ComputeParallelBalance 
 13.4        0.979       46,879        1320        1320      35515 libparmetis__GlobalSESum 
 12.4           77       43,172         144       67536     299808 libparmetis__Match_Global 
  8.8           81       30,712         744         744      41281 libparmetis__rprintf 
  8.8        0.649       30,631         744         744      41172 libparmetis__gkMPI_Barrier 
  8.8       30,631       30,631         744           0      41171 MPI_Barrier() 
  8.7           13       30,239       31668       31668        955 libparmetis__gkMPI_Wait 
  8.6       30,225       30,225       31668           0        954 MPI_Wait() 
  8.3           56       28,940        1728      128920      16748 libparmetis__CommChangedInterfaceData 
  3.9           18       13,760         744       29884      18495 libparmetis__CommInterfaceData 
  3.6           71       12,559         168      122667      74760 libparmetis__ComputePartitionParams 
  2.9           62       10,184         144       20507      70724 libparmetis__CreateCoarseGraph_Global 
  2.4           89        8,501         168        9940      50603 libparmetis__CommSetup 
  1.9        0.136        6,642         192         192      34594 libparmetis__GlobalSEMax 
  1.7            5        6,027          24          96     251154 libparmetis__PrintPostPartInfo 
  1.7          151        5,924          24         455     246862 ParallelReadGraph 
  1.6        0.123        5,742         168         168      34184 libparmetis__GlobalSEMin 
  1.5         0.28        5,321         168         168      31676 libparmetis__gkMPI_Alltoall 
  1.5        5,321        5,321         168           0      31674 MPI_Alltoall() 
  1.2        4,240        4,240         115           0      36878 MPI_Recv() 
  1.2        0.129        4,239          92          92      46083 libparmetis__gkMPI_Recv 
  1.1        0.221        3,808         144         144      26447 libparmetis__gkMPI_Allgather 
  1.1        3,808        3,808         144           0      26445 MPI_Allgather() 
  0.8        2,893        2,893          48           0      60272 MPI_Comm_dup() 
  0.7            2        2,486          24         312     103599 libparmetis__Mc_ComputeMoveStatistics 
  0.6            1        2,084          24         216      86855 libparmetis__SetupGraph 
  0.5            7        1,795          24          96      74816 libparmetis__CheckInputsPartKway 
  0.5        0.293        1,788          24          24      74509 libparmetis__GlobalSESumComm 
  0.4            4        1,523          24         240      63475 libparmetis__SetupCtrl 
  0.4        0.565        1,340         672         672       1994 libparmetis__gkMPI_Bcast 
  0.4        1,339        1,339         672           0       1993 MPI_Bcast() 
  0.3         0.02        1,163          24          24      48497 libparmetis__GlobalSEMinComm 
  0.2        0.031          759          24          72      31653 libparmetis__SetupCtrl_invtvwgts 
  0.2            3          574         144        1576       3987 libparmetis__ProjectPartition 
  0.1          307          307         115           0       2671 MPI_Send() 
  0.1           37          298       87574       87574          3 libparmetis__gkMPI_Isend 
  0.1          261          261       87574           0          3 MPI_Isend() 
  0.1          138          256          24         140      10692 WritePVector 
  0.1        0.051          190          92          92       2074 libparmetis__gkMPI_Send 
  0.0          133          133         744           0        179 libmetis__ikvsorti 
  0.0           36           71       87574       87574          1 libparmetis__gkMPI_Irecv 
  0.0           27           43       70896       70896          1 libparmetis__gkMPI_Get_count 
