Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0           69     4:54.625          24          24   12276043 .TAU application
100.0       24,876     4:54.555          24         312   12273140 main 
 88.2           35     4:19.797          24         384   10824891 ParMETIS_V3_RefineKway 
 84.4           50     4:08.754         144        3216    1727462 libparmetis__Adaptive_Partition 
 54.8            4     2:41.331        4920        4920      32791 libparmetis__gkMPI_Allreduce 
 54.8     2:41.326     2:41.326        4920           0      32790 MPI_Allreduce() 
 48.1          299     2:21.853         120       88810    1182115 libparmetis__KWayAdaptiveRefine 
 15.6            6       46,062         648        6480      71084 libparmetis__ComputeParallelBalance 
 15.0            7       44,103        6816        6816       6471 libparmetis__gkMPI_Waitall 
 15.0       44,096       44,096        6816           0       6470 MPI_Waitall() 
 12.6            1       37,137        1128        1128      32923 libparmetis__GlobalSESum 
 12.1           97       35,598         120       56280     296655 libparmetis__Match_Global 
  8.4           11       24,773       25566       25566        969 libparmetis__gkMPI_Wait 
  8.4       24,761       24,761       25566           0        969 MPI_Wait() 
  8.4           61       24,646        1440      107136      17116 libparmetis__CommChangedInterfaceData 
  7.4           64       21,946         648         648      33868 libparmetis__rprintf 
  7.4        0.828       21,882         648         648      33769 libparmetis__gkMPI_Barrier 
  7.4       21,881       21,881         648           0      33768 MPI_Barrier() 
  4.1           24       12,156         624       25064      19482 libparmetis__CommInterfaceData 
  4.0           88       11,691         144      159859      81188 libparmetis__ComputePartitionParams 
  2.4          165        7,206          24         455     300291 ParallelReadGraph 
  2.2           65        6,625         120        7372      55213 libparmetis__CreateCoarseGraph_Global 
  1.9        0.316        5,634         168         168      33538 libparmetis__GlobalSEMax 
  1.8           74        5,353         144        8520      37177 libparmetis__CommSetup 
  1.7        5,090        5,090         115           0      44264 MPI_Recv() 
