Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          116    14:57.594          48          48   18699892 .TAU application
100.0     1:00.380    14:57.478          48         624   18697471 main 
 91.0           59    13:36.602          48         768   17012552 ParMETIS_V3_PartKway 
 89.0           90    13:18.679         384       10272    2079894 libparmetis__Global_Partition 
 51.9           12     7:46.251       13296       13296      35067 libparmetis__gkMPI_Allreduce 
 51.9     7:46.238     7:46.238       13296           0      35066 MPI_Allreduce() 
 45.2          135     6:45.761         336      281070    1207625 libparmetis__KWayFM 
 13.8           94     2:03.615        3216        3216      38438 libparmetis__rprintf 
 13.8            3     2:03.521        3216        3216      38408 libparmetis__gkMPI_Barrier 
 13.8     2:03.517     2:03.517        3216           0      38407 MPI_Barrier() 
 13.7           13     2:03.287        1728       17280      71347 libparmetis__ComputeParallelBalance 
 12.5           12     1:52.516       18336       18336       6136 libparmetis__gkMPI_Waitall 
 12.5     1:52.503     1:52.503       18336           0       6136 MPI_Waitall() 
 10.4          181     1:33.046         336      257760     276923 libparmetis__Match_Global 
  9.0            1     1:21.222        2208        2208      36786 libparmetis__GlobalSESum 
  8.8           67     1:18.682      159636      159636        493 libparmetis__gkMPI_Wait 
  8.8     1:18.615     1:18.615      159636           0        492 MPI_Wait() 
  7.5          173     1:07.405        4032      496520      16718 libparmetis__CommChangedInterfaceData 
  4.1           25       36,920         384       23849      96146 libparmetis__ComputePartitionParams 
  3.1           40       28,232        1392       90608      20282 libparmetis__CommInterfaceData 
  2.9          120       26,195         336      187210      77963 libparmetis__CreateCoarseGraph_Global 
  2.3           88       20,968         384       32204      54604 libparmetis__CommSetup 
  1.9           86       16,828          48        2048     350585 libparmetis__InitPartition 
  1.7          182       15,630          48         911     325627 ParallelReadGraph 
  1.7        0.468       15,607         432         432      36128 libparmetis__GlobalSEMax 
  1.6        0.365       14,562         384         384      37924 libparmetis__GlobalSEMin 
  1.6        0.371       14,180         384         384      36928 libparmetis__GlobalSEMaxFloat 
  1.6        0.403       14,130         384         384      36799 libparmetis__GlobalSEMinFloat 
  1.4       12,592       12,592         235           0      53586 MPI_Recv() 
  1.4        0.196       12,369         188         188      65794 libparmetis__gkMPI_Recv 
  1.3        0.585       11,696         384         384      30459 libparmetis__gkMPI_Alltoall 
  1.3       11,695       11,695         384           0      30458 MPI_Alltoall() 
  1.1        0.568        9,942         384         384      25891 libparmetis__gkMPI_Allgather 
  1.1        9,941        9,941         384           0      25889 MPI_Allgather() 
  0.7        0.154        6,000          48         144     125004 libparmetis__PrintPostPartInfo 
  0.7            9        5,839          48         864     121654 libparmetis__AssembleAdaptiveGraph 
  0.5        4,746        4,746          96           0      49443 MPI_Comm_dup() 
  0.5           11        4,512         336       27224      13430 libparmetis__ProjectPartition 
  0.4           13        3,991          48         192      83156 libparmetis__CheckInputsPartKway 
