Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          145    10:20.385          48          48   12924688 .TAU application
100.0       52,805    10:20.239          48         624   12921647 main 
 87.3           83     9:01.761          48         768   11286693 ParMETIS_V3_RefineKway 
 83.4           87     8:37.267         288        6432    1796068 libparmetis__Adaptive_Partition 
 55.4            8     5:43.416        9840        9840      34900 libparmetis__gkMPI_Allreduce 
 55.4     5:43.407     5:43.407        9840           0      34899 MPI_Allreduce() 
 47.1          358     4:52.479         240      240803    1218663 libparmetis__KWayAdaptiveRefine 
 13.6           10     1:24.402        1296       12960      65125 libparmetis__ComputeParallelBalance 
 12.8            1     1:19.297        2256        2256      35150 libparmetis__GlobalSESum 
 12.2            9     1:15.379       13632       13632       5530 libparmetis__gkMPI_Waitall 
 12.1     1:15.369     1:15.369       13632           0       5529 MPI_Waitall() 
 11.4          112     1:11.021         240      182640     295924 libparmetis__Match_Global 
  8.3           39       51,534       87138       87138        591 libparmetis__gkMPI_Wait 
  8.3       51,494       51,494       87138           0        591 MPI_Wait() 
  8.1           66       50,391        1296        1296      38883 libparmetis__rprintf 
  8.1            1       50,325        1296        1296      38831 libparmetis__gkMPI_Barrier 
  8.1       50,324       50,324        1296           0      38830 MPI_Barrier() 
  7.5          128       46,814        2880      354700      16255 libparmetis__CommChangedInterfaceData 
  3.5           39       21,938        1248       80500      17579 libparmetis__CommInterfaceData 
  3.3           97       20,630         288      171687      71633 libparmetis__ComputePartitionParams 
  3.3          203       20,199          48         911     420823 ParallelReadGraph 
  3.2           66       19,912         240       20070      82970 libparmetis__CreateCoarseGraph_Global 
  2.5       15,793       15,793         235           0      67208 MPI_Recv() 
  2.5        0.212       15,566         188         188      82799 libparmetis__gkMPI_Recv 
  2.3           90       14,487         288       24052      50304 libparmetis__CommSetup 
  2.0            9       12,284          48         192     255933 libparmetis__PrintPostPartInfo 
  1.7        0.497       10,323         288         288      35846 libparmetis__gkMPI_Alltoall 
  1.7       10,323       10,323         288           0      35844 MPI_Alltoall() 
  1.6        0.256        9,898         336         336      29460 libparmetis__GlobalSEMax 
  1.6        0.221        9,638         288         288      33466 libparmetis__GlobalSEMin 
  1.2            4        7,150          48         624     148977 libparmetis__Mc_ComputeMoveStatistics 
  1.0        0.372        6,196         240         240      25817 libparmetis__gkMPI_Allgather 
  1.0        6,195        6,195         240           0      25816 MPI_Allgather() 
  0.9        5,284        5,284          96           0      55043 MPI_Comm_dup() 
  0.8            2        4,917          48         432     102439 libparmetis__SetupGraph 
  0.7            1        4,090        1152        1152       3551 libparmetis__gkMPI_Bcast 
  0.7        4,089        4,089        1152           0       3550 MPI_Bcast() 
  0.6           13        3,947          48         192      82242 libparmetis__CheckInputsPartKway 
  0.6        0.543        3,933          48          48      81958 libparmetis__GlobalSESumComm 
  0.3            8        2,095          48         480      43652 libparmetis__SetupCtrl 
  0.3        0.064        1,723          48         144      35900 libparmetis__SetupCtrl_invtvwgts 
  0.3          145        1,686          48         284      35144 WritePVector 
  0.3        1,657        1,657         235           0       7053 MPI_Send() 
  0.2        0.035        1,132          48          48      23598 libparmetis__GlobalSEMinComm 
  0.2          118        1,098      246349      246349          4 libparmetis__gkMPI_Isend 
  0.2          980          980      246349           0          4 MPI_Isend() 
  0.1            4          523         240        2172       2183 libparmetis__ProjectPartition 
  0.1        0.113          343         188         188       1830 libparmetis__gkMPI_Send 
  0.0          106          214      246349      246349          1 libparmetis__gkMPI_Irecv 
  0.0          148          148        1248           0        119 libmetis__ikvsorti 
  0.0           79          123      199920      199920          1 libparmetis__gkMPI_Get_count 
  0.0          107          107      246349           0          0 MPI_Irecv() 
  0.0           39           51        1298        2596         39 libmetis__ismalloc 
  0.0           34           49      172909         268          0 libparmetis__cnbrpoolGetNext 
  0.0           44           44      199920           0          0 MPI_Get_count() 
  0.0            9           28       18787       18787          2 libparmetis__wspacemalloc 
  0.0           23           23        2978           0          8 libmetis__iset 
  0.0           22           22        1920           0         12 libmetis__isorti 
  0.0            6           21        9571        9571          2 libparmetis__iwspacemalloc 
  0.0           20           20        3379           0          6 libmetis__icopy 
  0.0           17           19       10231        9795          2 gk_malloc 
  0.0           10           18       18787       20326          1 gk_mcoreMalloc 
  0.0           15           18        3028        9939          6 gk_free 
  0.0           15           15         439         734         36 gk_realloc 
  0.0           12           13          48         192        283 libparmetis__FreeInitialGraphAndRemap 
  0.0           12           12        1296           0         10 libmetis__isum 
  0.0            2           12        5281        5281          2 libmetis__imalloc 
  0.0            3           12        6912        6912          2 libparmetis__rwspacemalloc 
  0.0            1           10          48         144        213 libparmetis__FreeCtrl 
  0.0            4            7        6883        1539          1 gk_mcorePop 
  0.0            1            7          48          96        163 libparmetis__FreeWSpace 
  0.0            7            7       35474           0          0 libparmetis__IsHBalanceBetterTT 
  0.0            7            7        2160         775          3 libparmetis__FastRandomPermute 
  0.0            5            7        6883        6883          1 gk_mcorePush 
  0.0            6            6          48          96        141 gk_malloc_init 
  0.0            1            6        2304        2304          3 libparmetis__ikvwspacemalloc 
  0.0            6            6       25670           0          0 gk_mcoreAdd 
  0.0            1            5         240         720         24 libparmetis__FreeGraph 
  0.0          0.2            3         288         288         13 libparmetis__FreeNonGraphFields 
  0.0            2            2        8766           0          0 libparmetis__BSearch 
  0.0            2            2       10234           0          0 gk_gkmcoreDel 
  0.0            2            2       10282           0          0 gk_gkmcoreAdd 
  0.0            2            2         288         171          9 libparmetis__CommUpdateNnbrs 
  0.0            1            1        1755           0          1 libparmetis__RandomPermute 
  0.0            1            1        4944           0          0 libmetis__rset 
  0.0        0.771            1         288         576          4 libparmetis__CreateGraph 
  0.0            1            1          48          96         22 gk_malloc_cleanup 
  0.0        0.371            1         720         720          1 libmetis__rmalloc 
  0.0        0.548         0.95         192         192          5 libparmetis__gkMPI_Comm_size 
  0.0        0.891        0.891        3399           0          0 libparmetis__IsHBalanceBetterFT 
  0.0        0.435        0.819          48          48         17 libparmetis__AllocateWSpace 
  0.0        0.718        0.718        2256           0          0 libparmetis__ravg 
  0.0         0.69         0.69        2016           0          0 libmetis__rcopy 
  0.0        0.323        0.673         336         672          2 libmetis__rsmalloc 
  0.0        0.607        0.607         528           0          1 libmetis__iincset 
  0.0        0.594        0.594          96           0          6 MPI_Comm_free() 
  0.0        0.092        0.585          48          48         12 libparmetis__gkMPI_Comm_free 
  0.0        0.205        0.536         240         240          2 libmetis__ikvmalloc 
  0.0        0.231        0.428         240         240          2 libparmetis__gkMPI_Comm_rank 
  0.0        0.278        0.427          48          48          9 libparmetis__SetupGraph_nvwgts 
  0.0        0.402        0.402         192           0          2 MPI_Comm_size() 
  0.0        0.385        0.385         480           0          1 libmetis__ikvsortii 
  0.0        0.056        0.384          48         144          8 gk_mcoreCreate 
  0.0         0.03        0.309          48          48          6 libparmetis__AllocateRefinementWorkSpace 
  0.0        0.221         0.24          48          48          5 gk_gkmcorePush 
  0.0        0.197        0.197         240           0          1 MPI_Comm_rank() 
  0.0        0.035        0.142          48          48          3 gk_mcoreDestroy 
  0.0        0.123        0.123         288           0          0 libparmetis__InitGraph 
  0.0        0.095        0.095          48           0          2 gk_gkmcoreCreate 
  0.0        0.034        0.034          96           0          0 gk_GetCurMemoryUsed 
  0.0        0.033        0.033          96           0          0 libmetis__imax 
  0.0        0.027        0.027          48           0          1 libmetis__rsum 
  0.0        0.026        0.026          48           0          1 libparmetis__InitTimers 
  0.0        0.022        0.022          48           0          0 gk_gkmcoreDestroy 
  0.0        0.019        0.019          48           0          0 libparmetis__ParallelReMapGraph 
  0.0        0.014        0.014          48           0          0 gk_gkmcorePop 
  0.0        0.001        0.006           1           1          6 gk_cmalloc 

FUNCTION SUMMARY (mean):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0            3       12,924           1           1   12924688 .TAU application
100.0        1,100       12,921           1          13   12921647 main 
 87.3            1       11,286           1          16   11286693 ParMETIS_V3_RefineKway 
 83.4            1       10,776           6         134    1796068 libparmetis__Adaptive_Partition 
 55.4         0.17        7,154         205         205      34900 libparmetis__gkMPI_Allreduce 
 55.4        7,154        7,154         205           0      34899 MPI_Allreduce() 
 47.1            7        6,093           5     5016.73    1218663 libparmetis__KWayAdaptiveRefine 
 13.6        0.209        1,758          27         270      65125 libparmetis__ComputeParallelBalance 
 12.8       0.0363        1,652          47          47      35150 libparmetis__GlobalSESum 
 12.2        0.199        1,570         284         284       5530 libparmetis__gkMPI_Waitall 
 12.1        1,570        1,570         284           0       5529 MPI_Waitall() 
 11.4            2        1,479           5        3805     295924 libparmetis__Match_Global 
  8.3        0.831        1,073     1815.38     1815.38        591 libparmetis__gkMPI_Wait 
  8.3        1,072        1,072     1815.38           0        591 MPI_Wait() 
  8.1            1        1,049          27          27      38883 libparmetis__rprintf 
  8.1       0.0241        1,048          27          27      38831 libparmetis__gkMPI_Barrier 
  8.1        1,048        1,048          27           0      38830 MPI_Barrier() 
  7.5            2          975          60     7389.58      16255 libparmetis__CommChangedInterfaceData 
  3.5        0.825          457          26     1677.08      17579 libparmetis__CommInterfaceData 
  3.3            2          429           6     3576.81      71633 libparmetis__ComputePartitionParams 
  3.3            4          420           1     18.9792     420823 ParallelReadGraph 
  3.2            1          414           5     418.125      82970 libparmetis__CreateCoarseGraph_Global 
  2.5          329          329     4.89583           0      67208 MPI_Recv() 
  2.5      0.00442          324     3.91667     3.91667      82799 libparmetis__gkMPI_Recv 
  2.3            1          301           6     501.083      50304 libparmetis__CommSetup 
  2.0          0.2          255           1           4     255933 libparmetis__PrintPostPartInfo 
  1.7       0.0104          215           6           6      35846 libparmetis__gkMPI_Alltoall 
  1.7          215          215           6           0      35844 MPI_Alltoall() 
  1.6      0.00533          206           7           7      29460 libparmetis__GlobalSEMax 
  1.6       0.0046          200           6           6      33466 libparmetis__GlobalSEMin 
  1.2       0.0936          148           1          13     148977 libparmetis__Mc_ComputeMoveStatistics 
  1.0      0.00775          129           5           5      25817 libparmetis__gkMPI_Allgather 
  1.0          129          129           5           0      25816 MPI_Allgather() 
  0.9          110          110           2           0      55043 MPI_Comm_dup() 
  0.8       0.0478          102           1           9     102439 libparmetis__SetupGraph 
  0.7       0.0212           85          24          24       3551 libparmetis__gkMPI_Bcast 
  0.7           85           85          24           0       3550 MPI_Bcast() 
  0.6        0.281           82           1           4      82242 libparmetis__CheckInputsPartKway 
  0.6       0.0113           81           1           1      81958 libparmetis__GlobalSESumComm 
  0.3        0.167           43           1          10      43652 libparmetis__SetupCtrl 
  0.3      0.00133           35           1           3      35900 libparmetis__SetupCtrl_invtvwgts 
  0.3            3           35           1     5.91667      35144 WritePVector 
  0.3           34           34     4.89583           0       7053 MPI_Send() 
  0.2     0.000729           23           1           1      23598 libparmetis__GlobalSEMinComm 
  0.2            2           22     5132.27     5132.27          4 libparmetis__gkMPI_Isend 
  0.2           20           20     5132.27           0          4 MPI_Isend() 
  0.1       0.0956           10           5       45.25       2183 libparmetis__ProjectPartition 
  0.1      0.00235            7     3.91667     3.91667       1830 libparmetis__gkMPI_Send 
  0.0            2            4     5132.27     5132.27          1 libparmetis__gkMPI_Irecv 
  0.0            3            3          26           0        119 libmetis__ikvsorti 
  0.0            1            2        4165        4165          1 libparmetis__gkMPI_Get_count 
  0.0            2            2     5132.27           0          0 MPI_Irecv() 
  0.0        0.815            1     27.0417     54.0833         39 libmetis__ismalloc 
  0.0        0.716            1     3602.27     5.58333          0 libparmetis__cnbrpoolGetNext 
  0.0         0.93         0.93        4165           0          0 MPI_Get_count() 
  0.0        0.201        0.592     391.396     391.396          2 libparmetis__wspacemalloc 
  0.0        0.488        0.488     62.0417           0          8 libmetis__iset 
  0.0        0.472        0.472          40           0         12 libmetis__isorti 
  0.0         0.13        0.443     199.396     199.396          2 libparmetis__iwspacemalloc 
  0.0        0.428        0.428     70.3958           0          6 libmetis__icopy 
  0.0        0.363        0.416     213.146     204.062          2 gk_malloc 
  0.0        0.216         0.39     391.396     423.458          1 gk_mcoreMalloc 
  0.0        0.323        0.378     63.0833     207.062          6 gk_free 
  0.0        0.323        0.329     9.14583     15.2917         36 gk_realloc 
  0.0        0.262        0.283           1           4        283 libparmetis__FreeInitialGraphAndRemap 
  0.0        0.266        0.266          27           0         10 libmetis__isum 
  0.0       0.0564        0.257     110.021     110.021          2 libmetis__imalloc 
  0.0       0.0788        0.253         144         144          2 libparmetis__rwspacemalloc 
  0.0       0.0345        0.213           1           3        213 libparmetis__FreeCtrl 
  0.0       0.0876        0.164     143.396     32.0625          1 gk_mcorePop 
  0.0       0.0263        0.163           1           2        163 libparmetis__FreeWSpace 
  0.0        0.158        0.158     739.042           0          0 libparmetis__IsHBalanceBetterTT 
  0.0         0.15        0.156          45     16.1458          3 libparmetis__FastRandomPermute 
  0.0        0.108        0.147     143.396     143.396          1 gk_mcorePush 
  0.0        0.134        0.141           1           2        141 gk_malloc_init 
  0.0       0.0294        0.134          48          48          3 libparmetis__ikvwspacemalloc 
  0.0        0.125        0.125     534.792           0          0 gk_mcoreAdd 
  0.0       0.0216        0.119           5          15         24 libparmetis__FreeGraph 
  0.0      0.00417       0.0803           6           6         13 libparmetis__FreeNonGraphFields 
  0.0       0.0595       0.0595     182.625           0          0 libparmetis__BSearch 
  0.0        0.058        0.058     213.208           0          0 gk_gkmcoreDel 
  0.0        0.056        0.056     214.208           0          0 gk_gkmcoreAdd 
  0.0       0.0474       0.0515           6      3.5625          9 libparmetis__CommUpdateNnbrs 
  0.0         0.04         0.04     36.5625           0          1 libparmetis__RandomPermute 
  0.0       0.0308       0.0308         103           0          0 libmetis__rset 
  0.0       0.0161       0.0252           6          12          4 libparmetis__CreateGraph 
  0.0       0.0215       0.0223           1           2         22 gk_malloc_cleanup 
  0.0      0.00773       0.0222          15          15          1 libmetis__rmalloc 
  0.0       0.0114       0.0198           4           4          5 libparmetis__gkMPI_Comm_size 
  0.0       0.0186       0.0186     70.8125           0          0 libparmetis__IsHBalanceBetterFT 
  0.0      0.00906       0.0171           1           1         17 libparmetis__AllocateWSpace 
  0.0        0.015        0.015          47           0          0 libparmetis__ravg 
  0.0       0.0144       0.0144          42           0          0 libmetis__rcopy 
  0.0      0.00673        0.014           7          14          2 libmetis__rsmalloc 
  0.0       0.0126       0.0126          11           0          1 libmetis__iincset 
  0.0       0.0124       0.0124           2           0          6 MPI_Comm_free() 
  0.0      0.00192       0.0122           1           1         12 libparmetis__gkMPI_Comm_free 
  0.0      0.00427       0.0112           5           5          2 libmetis__ikvmalloc 
  0.0      0.00481      0.00892           5           5          2 libparmetis__gkMPI_Comm_rank 
  0.0      0.00579       0.0089           1           1          9 libparmetis__SetupGraph_nvwgts 
  0.0      0.00838      0.00838           4           0          2 MPI_Comm_size() 
  0.0      0.00802      0.00802          10           0          1 libmetis__ikvsortii 
  0.0      0.00117        0.008           1           3          8 gk_mcoreCreate 
  0.0     0.000625      0.00644           1           1          6 libparmetis__AllocateRefinementWorkSpace 
  0.0       0.0046        0.005           1           1          5 gk_gkmcorePush 
  0.0       0.0041       0.0041           5           0          1 MPI_Comm_rank() 
  0.0     0.000729      0.00296           1           1          3 gk_mcoreDestroy 
  0.0      0.00256      0.00256           6           0          0 libparmetis__InitGraph 
  0.0      0.00198      0.00198           1           0          2 gk_gkmcoreCreate 
  0.0     0.000708     0.000708           2           0          0 gk_GetCurMemoryUsed 
  0.0     0.000687     0.000687           2           0          0 libmetis__imax 
  0.0     0.000562     0.000562           1           0          1 libmetis__rsum 
  0.0     0.000542     0.000542           1           0          1 libparmetis__InitTimers 
  0.0     0.000458     0.000458           1           0          0 gk_gkmcoreDestroy 
  0.0     0.000396     0.000396           1           0          0 libparmetis__ParallelReMapGraph 
  0.0     0.000292     0.000292           1           0          0 gk_gkmcorePop 
  0.0     2.08E-05     0.000125   0.0208333   0.0208333          6 gk_cmalloc 
