Reading Profile files in /users/misc/raditya/Mar29/traces/profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0          146    14:42.703          48          48   18389664 .TAU application
100.0     1:14.306    14:42.557          48         624   18386617 main 
 89.2           59    13:07.485          48         768   16405956 ParMETIS_V3_PartKway 
 87.5           88    12:52.045         384       10272    2010535 libparmetis__Global_Partition 
 51.2           11     7:31.504       13296       13296      33958 libparmetis__gkMPI_Allreduce 
 51.1     7:31.492     7:31.492       13296           0      33957 MPI_Allreduce() 
 44.7          136     6:34.204         336      282050    1173228 libparmetis__KWayFM 
 13.9           11     2:02.543        1728       17280      70916 libparmetis__ComputeParallelBalance 
 13.7          153     2:00.640        3216        3216      37513 libparmetis__rprintf 
 13.6            2     2:00.486        3216        3216      37465 libparmetis__gkMPI_Barrier 
 13.6     2:00.483     2:00.483        3216           0      37464 MPI_Barrier() 
 11.8           11     1:44.070       18336       18336       5676 libparmetis__gkMPI_Waitall 
 11.8     1:44.058     1:44.058       18336           0       5675 MPI_Waitall() 
 10.5          174     1:32.553         336      257760     275457 libparmetis__Match_Global 
  8.9           68     1:18.175      159636      159636        490 libparmetis__gkMPI_Wait 
  8.8     1:18.107     1:18.107      159636           0        489 MPI_Wait() 
  8.6            1     1:16.054        2208        2208      34445 libparmetis__GlobalSESum 
  7.7          170     1:08.159        4032      497724      16905 libparmetis__CommChangedInterfaceData 
  3.5           33       30,837         384       40223      80306 libparmetis__ComputePartitionParams 
  3.1          119       27,338         336      187210      81363 libparmetis__CreateCoarseGraph_Global 
  2.9           40       25,501        1392       90608      18320 libparmetis__CommInterfaceData 
  1.9           91       16,850          48        2112     351046 libparmetis__InitPartition 
  1.8        0.345       16,133         384         384      42016 libparmetis__GlobalSEMinFloat 
  1.8           85       15,989         384       32204      41640 libparmetis__CommSetup 
  1.7        0.323       15,265         384         384      39754 libparmetis__GlobalSEMin 
  1.6        0.491       13,921         432         432      32226 libparmetis__GlobalSEMax 
  1.5         0.36       13,339         384         384      34739 libparmetis__GlobalSEMaxFloat 
  1.5          189       13,209          48         911     275189 ParallelReadGraph 
  1.3       11,283       11,283         235           0      48017 MPI_Recv() 
  1.2        0.573       10,572         384         384      27531 libparmetis__gkMPI_Allgather 
  1.2       10,571       10,571         384           0      27530 MPI_Allgather() 
  1.2         0.21       10,378         188         188      55204 libparmetis__gkMPI_Recv 
  1.2        0.576       10,202         384         384      26568 libparmetis__gkMPI_Alltoall 
  1.2       10,201       10,201         384           0      26567 MPI_Alltoall() 
  0.6        5,221        5,221          96           0      54394 MPI_Comm_dup() 
  0.5           11        4,807          48         864     100161 libparmetis__AssembleAdaptiveGraph 
  0.5        0.085        4,761          48         144      99198 libparmetis__PrintPostPartInfo 
  0.4          143        3,677          48         284      76608 WritePVector 
  0.4           11        3,555         336       27224      10582 libparmetis__ProjectPartition 
  0.4           13        3,476          48         192      72435 libparmetis__CheckInputsPartKway 
  0.4        0.551        3,463          48          48      72153 libparmetis__GlobalSESumComm 
  0.4            2        3,418          48         240      71221 libparmetis__gkMPI_Allgatherv 
  0.4        3,415        3,415          48           0      71166 MPI_Allgatherv() 
  0.3        2,844        2,844         235           0      12104 MPI_Send() 
  0.3            1        2,794        1584        1584       1764 libparmetis__gkMPI_Bcast 
  0.3        2,793        2,793        1584           0       1764 MPI_Bcast() 
  0.3            7        2,742          48         480      57144 libparmetis__SetupCtrl 
  0.2           43        1,788         160        1600      11181 METIS_PartGraphRecursive 
  0.2        0.181        1,706          48          48      35558 libparmetis__gkMPI_Comm_split 
  0.2        1,706        1,706          48           0      35554 MPI_Comm_split() 
  0.2            3        1,704         176        1632       9683 libmetis__MlevelRecursiveBisection 
  0.2           34        1,696         176        2121       9641 libmetis__MultilevelBisect 
  0.2          189        1,654      355556      355556          5 libparmetis__gkMPI_Isend 
  0.2            1        1,476          48         144      30764 libparmetis__SetupGraph 
  0.2         0.58        1,474          48         144      30718 libparmetis__SetupCtrl_invtvwgts 
  0.2        1,465        1,465      355556           0          4 MPI_Isend() 
  0.2         0.04        1,388          48          48      28924 libparmetis__GlobalSEMinComm 
  0.1            2        1,286        3158        3158        407 libmetis__FM_2WayRefine 
  0.1          312        1,284        3158 1.00351E+06        407 libmetis__FM_2WayCutRefine 
  0.1            1          843         320        4656       2636 libmetis__Refine2Way 
  0.1          115          701        7724      452590         91 libmetis__irandArrayPermute 
  0.1            2          633          32         384      19802 METIS_PartGraphKway 
  0.1            9          629          32         352      19669 libmetis__MlevelKWayPartitioning 
  0.1          218          587      454196      454196          1 libmetis__irandInRange 
  0.1        0.784          566         320         320       1770 libmetis__Init2WayPartition 
  0.1           54          565         320       12329       1768 libmetis__GrowBisection 
  0.1        0.708          554          32         128      17340 libmetis__InitKWayPartitioning 
  0.0          240          369      454196      454196          1 libmetis__irand 
  0.0          160          303      355556      355556          1 libparmetis__gkMPI_Irecv 
  0.0            1          263         352        2512        748 libmetis__CoarsenGraph 
  0.0           52          260        1328       13282        196 libmetis__Match_SHEM 
